Start date;End date;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Oct 1, 2018 12:00 AM;Oct 1, 2018 1:00 AM;4,531.00;1,342.00;1,632.25;4,254.25;0.00;144.00;7,894.25;15,545.25;7,946.00;3,391.75;41.00;1,793.25
Oct 1, 2018 1:00 AM;Oct 1, 2018 2:00 AM;4,500.25;1,246.50;2,078.25;3,977.00;0.00;144.00;7,907.00;15,605.75;7,761.75;3,257.50;0.00;1,777.75
Oct 1, 2018 2:00 AM;Oct 1, 2018 3:00 AM;4,498.75;1,277.50;2,141.25;3,892.75;0.00;143.75;7,927.00;15,685.75;7,556.75;3,336.50;0.00;1,788.50
Oct 1, 2018 3:00 AM;Oct 1, 2018 4:00 AM;4,482.50;1,236.50;2,198.00;4,102.50;0.00;143.00;7,837.00;15,753.00;7,924.00;3,179.50;0.00;1,792.00
Oct 1, 2018 4:00 AM;Oct 1, 2018 5:00 AM;4,491.50;1,235.00;2,556.25;4,561.25;0.00;144.00;7,860.75;15,814.25;8,221.75;3,370.75;0.00;1,795.75
Oct 1, 2018 5:00 AM;Oct 1, 2018 6:00 AM;4,499.25;1,232.00;2,650.50;5,192.00;0.00;143.00;7,932.00;15,802.50;10,257.25;3,655.25;42.50;1,789.00
Oct 1, 2018 6:00 AM;Oct 1, 2018 7:00 AM;4,511.00;1,269.00;3,507.75;5,998.50;0.00;143.50;7,885.75;15,736.00;12,394.25;4,758.75;453.75;1,793.25
Oct 1, 2018 7:00 AM;Oct 1, 2018 8:00 AM;4,590.50;1,269.00;3,730.50;6,801.00;208.25;144.00;7,934.00;15,854.25;13,921.75;5,603.75;3,936.75;1,826.00
Oct 1, 2018 8:00 AM;Oct 1, 2018 9:00 AM;4,609.25;1,393.50;4,020.50;6,683.00;2,009.50;144.00;7,951.75;15,782.75;14,068.00;5,656.25;4,757.25;1,825.25
Oct 1, 2018 9:00 AM;Oct 1, 2018 10:00 AM;4,587.50;1,409.25;4,275.25;5,896.00;5,139.50;144.00;7,987.25;15,888.50;13,879.50;5,618.75;4,605.50;1,797.50
