Quarter,TenneT,50Hertz,Amprion,TransnetBW,GesamtWindOnshore
Q1 2015,"863,24","254,75","16,46","0,18","969,69"
Q2 2015,"552,19","174,64","9,90","0,15","588,37"
Q3 2015,"534,22","267,57","11,54","1,88","733,45"
Q4 2015,"1508,66","523,60","2,59","0,72","1819,05"
Q1 2016,"1169,80","329,15","11,13","1,02","1451,41"
Q2 2016,"402,11","129,13","2,17","0,43","481,78"
Q3 2016,"460,51","82,58","7,41","0,61","497,90"
Q4 2016,"2905,94","793,68","40,26","3,4","3498,02"
Q1 2017,"1072,89","332,16","5,70","1,17","1300,17"
Q2 2017,"1167,46","194,27","0,74","0,26","1162,75"
Q3 2017,"314,78","107,20","11,51","0,52","336,05"
Q4 2017,"1946,76","338,69","19,78","2,17","1654,56"
Q1 2018,"1688,95","260,11","19,75","2,06","1431,34"
Q2 2018,"775,29","162,17","6,41","1,19","765,82"
Q3 2018,"615,65","100,86","6,22","0,37","575,48"
Q4 2018,"1621,22","123,97","15,24","3,22","1111,99"
Q1 2019,"2727,51","504,35","29,83","2,92","2520,17"
Q2 2019,"671,20","189,19","14,30","0,79","730,51"
Q3 2019,"734,85","112,11","16,63","0,56","700,43"
Q4 2019,"1306,29","200,72","31,26","0,72","1199,15"
Q1 2020,"2409,00","533,00","18,00","1,00","2169,00"
Q2 2020,"753,00","169,00","20,00","5,00","636,00"
Q3 2020,"759,00","122,00","14,00","7,00","520,00"
Q4 2020,"1190,00","160,00","8,00","0,00","804,00"
Q1 2021,"1573,00","262,00","27,00","1,00","1145,00"
Q2 2021,"1148,00","366,00","27,00","2,00","995,00"
Q3 2021,"708,00","185,00","34,00","1,00","527,00"
Q4 2021,"1117,00","354,00","12,00","1,00","741,00"
Q1 2022,"2265,00","967,00","52,00","1,00","1638,00"
Q2 2022,"1568,00","548,00","17,00","0,00","1069,00"
