Start date;End date;grid load [MWh] Calculated resolutions;Grid load incl. hydro pumped storage [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Jan 1, 2015;Feb 1, 2015;16,375,383.00;16,443,682.25;68,299.25;14,575,528.00
Feb 1, 2015;Mar 1, 2015;15,196,397.25;15,260,519.50;64,122.25;13,983,763.00
Mar 1, 2015;Apr 1, 2015;16,336,712.50;16,412,945.75;76,233.25;14,553,162.75
Apr 1, 2015;May 1, 2015;14,560,514.75;14,624,794.75;64,280.00;12,671,703.75
May 1, 2015;Jun 1, 2015;14,423,596.75;14,491,130.00;67,533.25;12,497,756.00
Jun 1, 2015;Jul 1, 2015;14,211,376.25;14,275,699.50;64,323.25;12,422,292.00
Jul 1, 2015;Aug 1, 2015;15,062,332.25;15,140,038.00;77,705.75;13,018,542.00
Aug 1, 2015;Sep 1, 2015;14,817,193.50;14,888,091.50;70,898.00;13,149,154.25
Sep 1, 2015;Oct 1, 2015;14,903,008.25;14,955,839.75;52,831.50;13,229,180.50
Oct 1, 2015;Nov 1, 2015;15,579,840.25;15,645,536.50;65,696.25;14,639,430.75
Nov 1, 2015;Dec 1, 2015;15,816,631.25;15,894,433.25;77,802.00;13,759,551.25
Dec 1, 2015;Jan 1, 2016;15,313,463.25;15,395,922.00;82,458.75;13,437,579.75
Jan 1, 2016;Feb 1, 2016;16,088,458.00;16,165,503.50;77,045.50;14,319,648.50
Feb 1, 2016;Mar 1, 2016;15,542,401.75;15,626,167.50;83,765.75;13,472,399.75
Mar 1, 2016;Apr 1, 2016;15,684,939.25;15,769,770.00;84,830.75;13,975,369.25
Apr 1, 2016;May 1, 2016;14,682,316.25;14,759,033.00;76,716.75;12,822,694.00
May 1, 2016;Jun 1, 2016;14,564,502.00;14,657,615.25;93,113.25;12,564,023.25
Jun 1, 2016;Jul 1, 2016;14,492,031.25;14,577,991.75;85,960.50;12,957,456.75
Jul 1, 2016;Aug 1, 2016;14,906,683.25;14,993,583.75;86,900.50;13,166,140.25
Aug 1, 2016;Sep 1, 2016;14,847,032.25;14,938,391.25;91,359.00;13,102,311.25
Sep 1, 2016;Oct 1, 2016;14,115,863.25;14,196,355.25;80,492.00;12,678,398.50
Oct 1, 2016;Nov 1, 2016;15,463,615.75;15,544,465.00;80,849.25;14,340,935.50
Nov 1, 2016;Dec 1, 2016;16,210,804.00;16,305,887.50;95,083.50;14,710,181.25
Dec 1, 2016;Jan 1, 2017;16,055,548.00;16,150,450.00;94,902.00;14,686,902.75
Jan 1, 2017;Feb 1, 2017;17,344,594.50;17,443,142.25;98,547.75;15,948,171.75
Feb 1, 2017;Mar 1, 2017;15,653,293.00;15,745,036.25;91,743.25;13,785,844.00
Mar 1, 2017;Apr 1, 2017;16,691,846.25;16,788,544.25;96,698.00;14,218,500.00
Apr 1, 2017;May 1, 2017;14,855,626.25;14,936,258.50;80,632.25;13,032,787.50
May 1, 2017;Jun 1, 2017;15,251,928.50;15,334,119.50;82,191.00;13,423,178.75
Jun 1, 2017;Jul 1, 2017;14,772,543.75;14,858,549.50;86,005.75;12,557,390.00
Jul 1, 2017;Aug 1, 2017;15,407,170.75;15,467,977.25;60,806.50;13,377,413.25
Aug 1, 2017;Sep 1, 2017;14,842,576.50;14,932,552.00;89,975.50;13,105,466.00
Sep 1, 2017;Oct 1, 2017;14,758,125.50;14,841,651.00;83,525.50;13,011,530.25
Oct 1, 2017;Nov 1, 2017;15,700,548.25;15,802,733.25;102,185.00;13,359,063.00
Nov 1, 2017;Dec 1, 2017;16,110,296.00;16,201,591.75;91,295.75;14,280,899.75
Dec 1, 2017;Jan 1, 2018;16,588,487.25;16,705,624.00;117,136.75;14,018,111.50
Jan 1, 2018;Feb 1, 2018;17,128,939.75;17,372,681.75;243,742.00;14,236,034.75
Feb 1, 2018;Mar 1, 2018;15,545,228.00;15,743,554.75;198,326.75;13,525,095.00
Mar 1, 2018;Apr 1, 2018;16,722,158.75;16,950,698.75;228,540.00;14,276,258.25
Apr 1, 2018;May 1, 2018;14,797,238.50;15,055,016.50;257,778.00;12,345,248.50
May 1, 2018;Jun 1, 2018;15,160,142.50;15,409,048.25;248,905.75;12,810,325.75
Jun 1, 2018;Jul 1, 2018;14,918,595.75;15,103,626.00;185,030.25;12,943,877.00
Jul 1, 2018;Aug 1, 2018;15,033,857.00;15,143,515.75;109,658.75;12,980,720.75
Aug 1, 2018;Sep 1, 2018;15,199,090.75;15,340,054.50;140,963.75;13,076,635.50
Sep 1, 2018;Oct 1, 2018;14,849,940.25;15,058,794.00;208,853.75;12,869,299.00
Oct 1, 2018;Nov 1, 2018;15,879,154.25;16,119,481.50;240,327.25;13,706,246.00
Nov 1, 2018;Dec 1, 2018;15,803,230.75;15,992,578.00;189,347.25;13,704,436.50
Dec 1, 2018;Jan 1, 2019;16,093,511.25;16,307,473.75;213,962.50;13,428,329.50
