Start date;End date;grid load [MWh] Calculated resolutions;Grid load incl. hydro pumped storage [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Jan 1, 2019;Feb 1, 2019;5,990,551.00;6,375,011.75;384,460.75;5,516,351.50
Feb 1, 2019;Mar 1, 2019;5,313,531.75;5,661,293.25;347,761.50;4,728,300.75
Mar 1, 2019;Apr 1, 2019;5,510,312.00;5,883,599.50;373,287.50;4,564,882.00
Apr 1, 2019;May 1, 2019;5,021,802.50;5,393,037.00;371,234.50;4,211,382.50
May 1, 2019;Jun 1, 2019;5,103,914.00;5,438,953.00;335,039.00;4,246,866.50
Jun 1, 2019;Jul 1, 2019;4,687,908.75;5,017,669.25;329,760.50;3,733,518.75
Jul 1, 2019;Aug 1, 2019;5,177,815.50;5,415,668.00;237,852.50;4,267,775.25
Aug 1, 2019;Sep 1, 2019;4,691,818.50;4,945,501.75;253,683.25;3,886,350.50
Sep 1, 2019;Oct 1, 2019;4,776,730.75;5,051,056.75;274,326.00;4,038,205.50
Oct 1, 2019;Nov 1, 2019;5,239,243.00;5,504,237.25;264,994.25;4,605,637.50
Nov 1, 2019;Dec 1, 2019;5,422,616.75;5,684,416.00;261,799.25;5,003,940.75
Dec 1, 2019;Jan 1, 2020;5,199,985.00;5,530,306.75;330,321.75;4,632,999.25
Jan 1, 2020;Feb 1, 2020;5,634,886.25;5,927,348.75;292,462.50;5,112,386.25
Feb 1, 2020;Mar 1, 2020;5,307,752.50;5,627,791.25;320,038.75;4,445,433.25
Mar 1, 2020;Apr 1, 2020;5,297,556.75;5,618,786.00;321,229.25;4,301,507.75
Apr 1, 2020;May 1, 2020;4,303,760.25;4,688,349.25;384,589.00;3,250,840.75
May 1, 2020;Jun 1, 2020;4,463,678.50;4,795,165.00;331,486.50;3,457,659.25
Jun 1, 2020;Jul 1, 2020;4,415,792.25;4,685,435.75;269,643.50;3,520,081.25
Jul 1, 2020;Aug 1, 2020;4,837,327.50;5,124,898.75;287,571.25;3,796,029.00
Aug 1, 2020;Sep 1, 2020;4,563,664.00;4,890,551.75;326,887.75;3,720,539.75
Sep 1, 2020;Oct 1, 2020;4,755,977.25;5,052,706.00;296,728.75;4,010,060.75
Oct 1, 2020;Nov 1, 2020;5,238,512.50;5,580,798.00;342,285.50;4,608,966.25
Nov 1, 2020;Dec 1, 2020;5,287,562.75;5,557,113.50;269,550.75;4,858,182.75
Dec 1, 2020;Jan 1, 2021;5,317,747.00;5,641,178.25;323,431.25;4,979,507.25
Jan 1, 2021;Feb 1, 2021;5,526,468.75;5,849,831.00;323,362.25;5,100,876.00
Feb 1, 2021;Mar 1, 2021;5,104,276.25;5,384,366.00;280,089.75;4,543,966.25
Mar 1, 2021;Apr 1, 2021;5,497,112.50;5,837,154.25;340,041.75;4,659,564.75
Apr 1, 2021;May 1, 2021;4,945,095.75;5,228,746.75;283,651.00;4,003,486.25
May 1, 2021;Jun 1, 2021;4,844,869.75;5,123,678.75;278,809.00;3,718,317.75
Jun 1, 2021;Jul 1, 2021;4,798,193.50;4,975,744.25;177,550.75;3,790,518.25
Jul 1, 2021;Aug 1, 2021;4,981,080.50;5,185,372.00;204,291.50;4,036,327.00
Aug 1, 2021;Sep 1, 2021;4,592,849.75;4,811,742.25;218,892.50;3,733,595.50
Sep 1, 2021;Oct 1, 2021;4,773,093.50;5,029,610.75;256,517.25;3,952,634.50
Oct 1, 2021;Nov 1, 2021;5,247,400.50;5,560,201.50;312,801.00;4,558,964.75
Nov 1, 2021;Dec 1, 2021;5,521,617.75;5,855,387.50;333,769.75;5,163,291.25
Dec 1, 2021;Jan 1, 2022;5,423,105.00;5,821,946.75;398,841.75;4,973,859.75
Jan 1, 2022;Feb 1, 2022;5,569,129.00;5,960,608.75;391,479.75;5,014,806.50
Feb 1, 2022;Mar 1, 2022;5,196,982.75;5,596,969.25;399,986.50;4,288,250.50
Mar 1, 2022;Apr 1, 2022;5,432,175.75;5,799,166.00;366,990.25;4,453,406.50
Apr 1, 2022;May 1, 2022;4,875,784.50;5,252,814.25;377,029.75;3,859,540.00
May 1, 2022;Jun 1, 2022;4,849,826.25;5,149,093.75;299,267.50;3,692,970.25
Jun 1, 2022;Jul 1, 2022;4,566,287.50;4,863,913.50;297,626.00;3,429,535.25
Jul 1, 2022;Aug 1, 2022;4,885,001.25;5,263,098.75;377,768.88;3,680,852.00
Aug 1, 2022;Sep 1, 2022;4,614,877.00;4,928,662.00;313,785.00;3,511,701.50
Sep 1, 2022;Oct 1, 2022;4,686,857.25;5,023,562.50;336,705.25;3,847,062.25
Oct 1, 2022;Nov 1, 2022;4,814,382.25;5,192,737.00;378,354.75;4,139,365.50
Nov 1, 2022;Dec 1, 2022;5,035,998.00;5,432,483.50;396,485.50;4,521,638.75
Dec 1, 2022;Jan 1, 2023;5,118,509.50;5,538,805.00;420,295.50;4,715,743.00
Jan 1, 2023;Feb 1, 2023;5,286,938.75;5,577,502.00;290,563.25;4,730,567.00
Feb 1, 2023;Mar 1, 2023;4,926,953.75;5,152,291.00;225,337.25;4,190,397.50
Mar 1, 2023;Apr 1, 2023;5,211,606.75;5,469,083.25;257,476.50;4,207,742.50
Apr 1, 2023;May 1, 2023;4,562,431.00;4,838,364.00;275,933.00;3,620,267.25
May 1, 2023;Jun 1, 2023;4,446,368.75;4,710,998.50;264,629.75;3,265,932.00
Jun 1, 2023;Jul 1, 2023;4,358,136.25;4,558,098.25;199,962.00;2,980,431.50
Jul 1, 2023;Aug 1, 2023;4,612,286.50;4,812,906.25;200,619.75;3,318,055.50
Aug 1, 2023;Sep 1, 2023;4,411,129.00;4,567,328.00;156,199.00;3,323,343.75
Sep 1, 2023;Oct 1, 2023;4,381,938.75;4,549,522.75;167,584.00;3,327,145.50
Oct 1, 2023;Nov 1, 2023;4,733,412.75;4,994,497.25;261,084.50;3,872,120.50
Nov 1, 2023;Dec 1, 2023;5,128,559.50;5,333,998.75;205,439.25;4,396,910.00
Dec 1, 2023;Jan 1, 2024;4,990,375.00;5,243,770.00;253,395.00;4,326,834.00
Jan 1, 2024;Feb 1, 2024;5,445,645.50;5,623,721.00;178,075.50;4,749,900.00
Feb 1, 2024;Mar 1, 2024;4,874,208.25;5,077,247.00;203,038.75;4,051,901.00
Mar 1, 2024;Apr 1, 2024;4,884,035.50;5,127,675.75;243,640.25;3,930,088.75
Apr 1, 2024;May 1, 2024;4,647,772.50;4,927,840.50;280,068.00;3,442,221.25
May 1, 2024;Jun 1, 2024;4,327,310.00;4,565,444.75;238,134.75;3,057,891.00
Jun 1, 2024;Jul 1, 2024;4,403,617.00;4,714,327.00;310,710.00;3,099,927.50
Jul 1, 2024;Aug 1, 2024;4,669,835.25;4,906,848.75;237,013.50;3,275,610.25
Aug 1, 2024;Sep 1, 2024;4,299,833.75;4,673,496.75;373,663.00;2,958,318.50
Sep 1, 2024;Oct 1, 2024;4,478,362.50;4,758,529.00;280,166.50;3,355,255.50
Oct 1, 2024;Nov 1, 2024;4,826,128.50;5,141,471.25;315,342.75;4,128,649.25
Nov 1, 2024;Dec 1, 2024;5,083,707.50;5,318,334.50;234,627.00;4,514,102.50
Dec 1, 2024;Jan 1, 2025;5,037,514.50;5,326,775.25;289,260.75;4,459,787.00
Jan 1, 2025;Feb 1, 2025;5,394,283.00;5,683,606.00;289,323.00;4,645,032.25
Feb 1, 2025;Mar 1, 2025;4,985,372.50;5,208,743.50;223,371.00;4,351,350.75
Mar 1, 2025;Apr 1, 2025;4,989,462.75;5,297,668.00;308,205.25;3,858,213.25
Apr 1, 2025;May 1, 2025;4,393,317.50;4,693,136.50;299,819.00;2,941,871.50
May 1, 2025;Jun 1, 2025;4,353,411.75;4,619,348.25;265,936.50;2,817,642.75
Jun 1, 2025;Jul 1, 2025;4,186,316.15;4,539,445.90;353,129.75;2,565,866.15
Jul 1, 2025;Aug 1, 2025;4,556,678.56;4,809,369.56;252,691.00;3,198,221.06
Aug 1, 2025;Sep 1, 2025;4,095,864.20;4,364,298.20;268,434.00;2,678,707.45
Sep 1, 2025;Oct 1, 2025;4,450,241.78;4,736,215.03;285,973.25;3,395,618.28
Oct 1, 2025;Nov 1, 2025;4,890,158.69;5,134,573.59;244,414.91;3,896,102.92
Nov 1, 2025;Dec 1, 2025;5,378,658.68;5,591,479.64;212,820.95;4,817,676.62
Dec 1, 2025;Jan 1, 2026;5,294,566.48;5,540,992.52;246,426.04;4,871,482.45
