Start date;End date;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Jan 1, 2019;Jan 2, 2019;27,622.25;3,233.50;17,945.00;306,199.00;2,866.25;0.00;72,797.25;4,689.25;7,711.25;7,297.50;22,471.50
Jan 2, 2019;Jan 3, 2019;27,064.00;3,169.75;20,131.50;276,164.25;7,373.50;0.00;120,921.50;16,327.50;14,574.75;8,777.75;22,604.75
Jan 3, 2019;Jan 4, 2019;27,014.75;3,162.00;12,244.50;131,166.50;5,921.75;0.00;175,620.25;37,586.50;17,582.25;13,296.75;24,836.50
Jan 4, 2019;Jan 5, 2019;27,004.75;3,160.75;18,712.50;164,732.25;1,392.75;0.00;174,677.00;33,182.75;17,300.75;6,293.75;24,776.50
Jan 5, 2019;Jan 6, 2019;26,874.25;3,147.00;12,388.00;162,935.75;2,733.75;0.00;156,951.00;22,910.00;15,211.25;10,629.25;24,605.25
Jan 6, 2019;Jan 7, 2019;26,789.25;3,135.50;1,873.75;24,820.75;4,173.75;0.00;188,480.75;41,607.25;16,469.50;8,865.00;25,061.50
Jan 7, 2019;Jan 8, 2019;27,169.25;3,180.50;9,873.25;113,008.75;2,590.00;0.00;179,533.25;45,118.00;15,872.75;14,669.25;23,085.75
Jan 8, 2019;Jan 9, 2019;26,697.00;3,126.50;21,787.50;320,246.50;2,240.25;0.00;110,980.75;4,684.25;13,136.25;9,644.50;23,112.75
Jan 9, 2019;Jan 10, 2019;26,880.25;3,147.00;24,550.75;275,002.50;1,484.25;0.00;143,874.75;23,879.75;14,869.25;7,148.50;24,454.50
Jan 10, 2019;Jan 11, 2019;27,791.75;3,253.25;5,270.75;76,745.50;3,820.50;966.00;166,871.25;48,118.25;17,407.50;14,451.25;24,929.75
Jan 11, 2019;Jan 12, 2019;28,175.50;3,298.25;18,249.50;151,266.75;1,101.00;1,794.75;168,158.00;43,323.75;16,125.25;7,280.25;24,899.00
Jan 12, 2019;Jan 13, 2019;28,608.50;3,348.50;15,854.00;215,702.25;2,702.00;1,671.00;153,448.00;21,819.50;14,734.50;9,128.75;24,771.00
Jan 13, 2019;Jan 14, 2019;28,299.50;3,313.00;22,479.50;292,279.00;1,845.25;633.00;84,330.00;4,691.25;7,417.25;2,738.75;22,573.50
Jan 14, 2019;Jan 15, 2019;27,798.00;3,253.75;21,627.00;324,792.50;8,277.50;1,512.25;105,834.00;14,622.50;15,296.75;11,463.25;22,610.50
Jan 15, 2019;Jan 16, 2019;27,205.50;3,185.25;21,139.50;318,840.75;2,399.75;1,754.50;123,198.75;23,235.75;16,476.00;12,082.50;21,789.00
Jan 16, 2019;Jan 17, 2019;27,961.75;3,273.25;22,585.00;231,565.25;2,416.50;1,697.25;148,185.50;30,287.25;16,356.50;11,342.25;21,706.25
Jan 17, 2019;Jan 18, 2019;27,359.25;3,203.75;22,805.25;230,990.75;5,434.00;1,650.75;165,192.25;32,002.75;16,000.75;5,872.25;21,420.50
Jan 18, 2019;Jan 19, 2019;26,703.00;3,126.50;11,376.75;114,225.00;13,982.75;1,775.25;188,460.00;54,179.50;18,592.00;13,987.50;21,151.25
Jan 19, 2019;Jan 20, 2019;27,962.75;3,272.75;6,183.00;16,752.00;14,168.25;1,768.50;186,647.00;57,438.00;17,534.50;2,945.50;21,613.00
Jan 20, 2019;Jan 21, 2019;28,198.25;3,300.50;4,685.00;6,710.75;15,696.00;1,759.50;180,541.00;57,353.50;17,504.50;4,457.25;21,148.50
Jan 21, 2019;Jan 22, 2019;28,156.75;3,295.75;15,301.00;22,995.25;10,994.25;1,784.25;190,487.00;60,691.25;19,018.25;14,723.50;21,545.50
Jan 22, 2019;Jan 23, 2019;28,324.00;3,315.50;5,878.50;51,245.00;15,890.25;1,778.50;189,916.00;62,568.50;18,876.50;8,085.25;21,408.75
Jan 23, 2019;Jan 24, 2019;28,344.50;3,316.75;14,687.25;75,894.50;11,175.25;1,788.50;189,144.75;61,673.75;19,385.00;13,907.00;23,942.00
Jan 24, 2019;Jan 25, 2019;26,193.00;3,066.25;6,856.75;21,044.25;3,952.75;1,793.75;188,477.75;61,852.50;19,468.75;11,136.00;24,558.50
Jan 25, 2019;Jan 26, 2019;27,548.00;3,223.75;2,053.00;23,899.50;4,039.00;1,787.25;189,367.75;61,127.00;18,663.75;10,827.00;22,570.25
Jan 26, 2019;Jan 27, 2019;27,565.50;3,227.00;5,385.00;118,210.25;1,899.00;1,732.00;196,226.00;55,380.75;17,178.75;5,774.25;21,467.50
Jan 27, 2019;Jan 28, 2019;27,462.25;3,213.50;13,824.75;157,651.75;5,720.25;1,425.75;173,228.50;34,600.50;14,037.25;4,552.75;21,268.75
Jan 28, 2019;Jan 29, 2019;26,068.50;3,051.50;4,954.50;102,773.75;10,190.50;1,732.00;201,247.25;53,176.25;17,896.25;9,187.25;22,051.75
Jan 29, 2019;Jan 30, 2019;26,460.00;3,096.75;11,285.50;94,405.00;7,768.25;1,781.00;198,520.25;60,158.00;18,295.75;13,868.50;21,839.25
Jan 30, 2019;Jan 31, 2019;26,271.25;3,075.75;9,275.25;136,748.75;14,364.50;1,791.50;202,225.75;53,716.75;17,896.50;7,701.50;15,655.75
Jan 31, 2019;Feb 1, 2019;26,792.00;3,135.75;12,368.00;61,610.00;18,574.00;1,772.75;198,804.50;57,881.50;17,232.50;14,422.50;23,346.00
Feb 1, 2019;Feb 2, 2019;27,394.75;3,207.75;11,222.75;82,529.00;5,078.75;1,770.00;176,651.00;49,196.25;17,432.75;9,991.00;23,763.75
Feb 2, 2019;Feb 3, 2019;27,251.50;3,189.50;8,748.50;27,412.00;1,767.50;1,768.50;177,614.75;44,952.00;17,502.00;2,787.00;24,825.25
Feb 3, 2019;Feb 4, 2019;27,066.25;3,168.50;13,631.25;80,503.50;2,081.00;1,768.25;177,378.25;41,924.25;16,690.25;3,414.50;24,881.00
Feb 4, 2019;Feb 5, 2019;26,702.00;3,127.00;13,601.00;110,468.00;17,689.00;1,780.50;178,838.25;48,335.50;17,138.00;7,694.75;23,974.00
Feb 5, 2019;Feb 6, 2019;26,147.50;3,062.25;24,317.75;127,829.25;5,958.00;1,778.25;194,103.50;50,756.25;16,600.25;7,885.25;23,605.25
Feb 6, 2019;Feb 7, 2019;26,440.25;3,094.50;16,400.25;94,281.25;17,155.25;1,743.50;196,467.00;55,063.00;16,462.00;13,873.75;23,355.00
Feb 7, 2019;Feb 8, 2019;26,945.75;3,155.00;14,100.00;155,630.75;7,267.00;1,762.00;168,990.25;36,261.25;15,775.25;4,880.75;23,520.25
Feb 8, 2019;Feb 9, 2019;27,306.75;3,198.00;19,527.25;231,432.00;16,231.75;1,645.25;140,574.75;11,961.00;14,419.50;12,325.75;24,263.25
Feb 9, 2019;Feb 10, 2019;26,965.25;3,157.25;19,680.50;305,198.75;17,367.75;907.50;70,346.00;0.00;7,429.00;6,851.25;22,346.75
Feb 10, 2019;Feb 11, 2019;27,171.00;3,181.25;16,008.25;270,939.00;3,840.00;977.00;88,047.75;1,175.75;8,182.75;5,512.50;21,957.00
Feb 11, 2019;Feb 12, 2019;26,859.75;3,143.75;18,587.50;302,253.25;10,713.75;1,521.50;127,269.25;5,127.00;13,376.00;13,080.00;23,317.25
Feb 12, 2019;Feb 13, 2019;27,421.00;3,210.00;14,045.25;173,225.25;15,439.75;1,764.75;175,130.75;44,485.25;16,997.25;11,265.25;25,030.00
Feb 13, 2019;Feb 14, 2019;27,746.00;3,249.00;19,183.25;170,991.75;5,399.25;1,704.75;175,231.00;46,620.00;15,936.75;7,857.50;29,088.25
Feb 14, 2019;Feb 15, 2019;27,845.75;3,258.75;13,597.25;52,228.00;23,809.25;1,679.50;195,900.00;56,262.25;15,489.50;13,148.25;29,192.25
Feb 15, 2019;Feb 16, 2019;27,297.75;3,196.00;6,459.00;34,653.50;31,724.50;1,677.25;191,912.75;56,118.25;15,186.25;9,695.50;29,657.00
Feb 16, 2019;Feb 17, 2019;28,775.25;3,369.25;16,160.75;110,777.25;33,112.00;1,490.50;178,288.25;27,450.25;12,520.00;7,614.00;29,417.75
Feb 17, 2019;Feb 18, 2019;28,740.25;3,363.75;6,388.75;43,205.00;28,019.50;1,542.50;200,805.25;27,568.50;13,498.00;4,534.75;29,489.75
Feb 18, 2019;Feb 19, 2019;28,121.50;3,292.75;5,211.00;61,096.50;32,882.75;1,499.25;198,465.00;35,870.75;12,906.50;12,341.00;29,363.25
Feb 19, 2019;Feb 20, 2019;27,682.00;3,240.00;16,213.25;187,655.50;12,648.75;1,638.00;188,730.75;21,969.50;13,359.00;9,957.75;28,767.00
Feb 20, 2019;Feb 21, 2019;26,747.25;3,130.75;16,895.75;115,513.00;17,324.25;1,610.75;197,646.50;36,029.75;13,456.50;10,973.00;28,693.75
Feb 21, 2019;Feb 22, 2019;27,660.75;3,236.25;20,032.00;143,771.50;11,316.00;1,615.00;201,093.50;36,677.25;13,380.50;8,694.50;28,878.00
Feb 22, 2019;Feb 23, 2019;27,697.75;3,243.00;13,161.75;104,413.50;16,672.00;1,719.50;201,810.50;37,612.25;14,678.25;12,807.75;29,104.00
Feb 23, 2019;Feb 24, 2019;28,103.00;3,289.25;5,967.00;40,699.25;31,308.75;1,760.50;200,031.25;37,578.50;14,805.50;3,610.50;29,071.00
Feb 24, 2019;Feb 25, 2019;27,592.50;3,229.75;10,168.00;24,598.00;32,190.00;1,541.50;199,564.25;35,972.25;13,128.00;3,147.25;28,381.50
Feb 25, 2019;Feb 26, 2019;27,611.00;3,231.75;14,547.75;55,940.00;34,915.50;1,610.00;199,237.50;37,326.50;13,823.25;11,343.00;24,902.00
Feb 26, 2019;Feb 27, 2019;27,154.25;3,178.00;4,593.50;49,512.50;27,073.25;1,558.50;197,740.00;18,085.25;13,359.75;9,190.50;19,475.25
Feb 27, 2019;Feb 28, 2019;25,045.00;2,932.00;17,035.75;59,284.00;38,562.50;1,491.50;195,400.00;17,806.00;12,754.50;9,421.75;19,613.25
Feb 28, 2019;Mar 1, 2019;25,647.50;3,002.50;15,869.25;164,923.25;29,135.75;1,490.75;182,420.50;16,244.00;12,994.25;5,257.75;28,561.50
Mar 1, 2019;Mar 2, 2019;27,942.25;3,270.50;864.00;38,776.25;7,270.25;1,671.50;178,915.25;30,972.00;14,219.25;14,831.75;28,890.75
Mar 2, 2019;Mar 3, 2019;28,156.75;3,294.50;5,670.50;45,609.50;7,459.50;1,705.25;169,780.50;32,344.00;13,778.25;1,641.75;29,035.50
Mar 3, 2019;Mar 4, 2019;28,016.25;3,280.50;19,653.75;252,794.25;7,617.00;452.25;74,023.00;4,331.50;4,896.75;8,166.75;26,217.50
Mar 4, 2019;Mar 5, 2019;26,882.75;3,147.75;23,632.25;306,301.75;17,467.25;1,103.00;77,739.00;4,813.00;9,625.00;15,295.75;27,328.50
Mar 5, 2019;Mar 6, 2019;27,154.00;3,178.50;21,969.75;264,435.50;18,865.75;1,448.75;121,853.75;9,758.75;11,907.00;13,159.75;27,387.50
Mar 6, 2019;Mar 7, 2019;26,496.25;3,102.25;12,381.50;161,129.50;29,365.75;1,557.50;161,193.25;11,196.50;13,078.75;8,166.25;27,790.00
Mar 7, 2019;Mar 8, 2019;28,026.75;3,280.75;23,592.00;253,045.00;19,532.50;1,210.00;120,515.75;3,951.00;10,603.75;10,948.50;26,658.75
Mar 8, 2019;Mar 9, 2019;28,224.75;3,304.00;24,515.50;266,868.75;19,263.25;1,303.00;113,011.00;4,354.75;10,372.25;14,944.00;27,148.00
Mar 9, 2019;Mar 10, 2019;28,210.50;3,302.00;23,170.25;285,444.50;20,288.50;586.00;73,462.25;4,220.75;5,031.00;5,612.00;25,222.25
Mar 10, 2019;Mar 11, 2019;27,280.00;3,193.50;17,539.50;166,613.25;12,056.25;1,355.00;92,667.50;4,447.00;9,711.75;13,246.75;27,466.75
Mar 11, 2019;Mar 12, 2019;27,627.50;3,233.50;5,673.75;190,329.50;16,653.00;1,485.25;129,355.00;17,476.50;13,287.50;12,238.25;20,063.25
