Start date;End date;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Jan 1, 2019;Jan 2, 2019;22,085.25;-;124,036.50;1,942.00;2,352.00;52,686.25;48,318.25;11,498.75;40,277.25;3,149.50;5,948.00
Jan 2, 2019;Jan 3, 2019;22,346.75;-;97,703.25;5,826.50;2,273.25;58,066.00;98,429.50;36,295.25;62,421.25;3,956.00;6,159.25
Jan 3, 2019;Jan 4, 2019;22,604.25;-;30,083.25;3,130.00;2,253.25;63,974.00;161,836.25;104,374.25;132,813.75;6,269.50;5,885.75
Jan 4, 2019;Jan 5, 2019;22,730.25;-;58,671.25;2,794.50;2,219.00;63,878.00;182,651.25;69,873.75;107,907.50;3,713.50;7,232.50
Jan 5, 2019;Jan 6, 2019;23,021.75;-;122,357.25;1,187.50;2,328.25;63,701.00;155,498.75;38,847.00;79,830.75;1,798.00;7,064.50
Jan 6, 2019;Jan 7, 2019;22,694.50;-;59,587.00;1,964.50;2,357.75;63,792.25;177,397.25;73,228.25;103,483.50;3,946.75;7,504.25
Jan 7, 2019;Jan 8, 2019;22,219.50;-;71,620.25;2,399.00;2,300.75;63,768.25;172,273.25;88,333.25;132,142.75;7,137.50;7,246.00
Jan 8, 2019;Jan 9, 2019;21,706.50;-;186,027.25;3,299.50;2,431.25;63,653.25;102,523.00;17,384.50;76,246.75;3,715.25;5,770.25
Jan 9, 2019;Jan 10, 2019;22,078.25;-;124,773.00;4,912.50;2,469.25;63,874.00;127,803.50;53,445.25;100,148.75;5,216.25;6,754.00
Jan 10, 2019;Jan 11, 2019;22,379.50;-;24,496.00;2,710.75;2,325.75;64,027.25;175,034.75;118,317.75;177,633.00;8,001.25;8,228.25
Jan 11, 2019;Jan 12, 2019;22,246.75;-;56,395.50;979.25;2,357.50;63,869.00;176,294.25;105,181.25;151,097.25;7,035.25;7,803.00
Jan 12, 2019;Jan 13, 2019;22,168.50;-;128,884.00;1,000.75;2,506.25;63,699.50;106,835.50;30,735.75;74,075.75;3,912.00;7,332.00
Jan 13, 2019;Jan 14, 2019;21,283.00;-;168,171.75;1,004.00;2,633.75;61,891.75;46,721.00;13,600.00;45,350.00;2,206.50;5,827.00
Jan 14, 2019;Jan 15, 2019;21,153.50;-;114,695.00;5,475.00;2,478.50;59,934.75;90,144.75;35,335.75;87,063.50;4,953.00;6,731.00
Jan 15, 2019;Jan 16, 2019;21,592.75;-;116,441.75;3,458.50;2,251.75;63,751.75;129,986.75;48,152.75;99,152.75;5,128.50;7,752.25
Jan 16, 2019;Jan 17, 2019;21,700.25;-;116,528.75;6,753.75;2,331.50;63,686.75;143,454.75;48,140.25;113,995.25;6,573.50;7,425.75
Jan 17, 2019;Jan 18, 2019;21,779.75;-;127,131.50;4,116.50;2,501.25;63,736.00;151,928.50;59,981.50;101,912.00;1,749.50;7,211.50
Jan 18, 2019;Jan 19, 2019;21,928.50;-;26,504.25;10,399.75;2,367.75;64,001.25;190,867.25;121,841.50;156,492.25;7,721.00;5,983.00
Jan 19, 2019;Jan 20, 2019;22,118.50;-;38,977.25;13,488.00;2,330.00;64,108.25;180,115.50;130,197.50;125,379.75;2,029.00;6,121.00
Jan 20, 2019;Jan 21, 2019;21,924.25;-;19,659.25;12,509.50;2,221.25;64,126.50;183,202.00;126,341.00;128,365.00;2,124.00;6,006.00
Jan 21, 2019;Jan 22, 2019;22,112.50;-;12,791.50;13,285.50;2,061.00;64,122.75;199,316.50;142,536.25;182,808.25;6,254.25;5,740.00
Jan 22, 2019;Jan 23, 2019;22,414.00;-;46,132.25;6,422.00;2,240.00;64,113.75;199,513.00;146,344.25;179,885.00;4,649.75;5,674.00
Jan 23, 2019;Jan 24, 2019;22,542.75;-;14,933.75;3,883.25;2,334.00;64,147.50;200,279.25;136,323.25;195,812.25;9,438.00;5,862.50
Jan 24, 2019;Jan 25, 2019;22,361.75;-;2,281.50;3,008.25;2,321.25;64,156.25;199,901.50;126,869.25;205,704.75;8,918.75;5,988.25
Jan 25, 2019;Jan 26, 2019;22,385.50;-;38,799.50;3,339.50;2,358.75;64,056.75;194,521.75;115,757.00;193,342.00;6,700.50;5,941.50
Jan 26, 2019;Jan 27, 2019;22,425.50;-;122,358.50;2,968.00;2,500.50;63,769.25;149,854.50;61,513.00;95,882.75;4,128.50;5,931.75
Jan 27, 2019;Jan 28, 2019;21,978.50;-;136,893.25;4,564.25;2,490.25;63,292.00;113,248.25;36,866.75;66,876.25;4,171.50;5,885.00
Jan 28, 2019;Jan 29, 2019;21,887.50;-;140,210.25;3,757.75;2,480.25;63,845.25;164,994.00;91,745.50;133,026.75;6,490.75;6,059.50
Jan 29, 2019;Jan 30, 2019;22,097.25;-;52,451.25;9,238.00;2,553.25;63,961.50;160,405.00;106,992.50;173,568.25;8,435.75;6,080.00
Jan 30, 2019;Jan 31, 2019;22,080.00;-;68,072.50;3,649.50;2,631.50;64,026.75;172,233.00;94,992.25;157,000.50;5,174.75;6,020.75
Jan 31, 2019;Feb 1, 2019;22,139.75;-;36,341.75;5,636.25;2,549.00;64,024.50;180,675.25;107,777.75;171,359.75;8,114.00;6,025.50
Feb 1, 2019;Feb 2, 2019;21,990.00;-;47,995.50;3,719.00;2,764.50;63,979.50;176,886.00;116,347.00;165,779.25;3,204.50;5,873.75
Feb 2, 2019;Feb 3, 2019;21,974.50;-;16,412.75;4,296.50;2,816.50;63,922.25;181,212.25;100,965.75;127,731.00;4,772.50;6,024.00
Feb 3, 2019;Feb 4, 2019;21,841.25;-;39,987.75;7,165.25;2,550.00;63,965.75;174,805.25;78,957.25;118,738.25;4,026.25;5,988.00
Feb 4, 2019;Feb 5, 2019;21,796.75;-;73,815.75;10,254.75;2,403.00;63,925.75;170,077.50;85,027.50;123,454.50;4,871.75;5,988.75
Feb 5, 2019;Feb 6, 2019;21,753.00;-;30,650.75;7,097.75;2,424.50;63,948.50;184,171.25;84,930.25;155,974.50;5,387.00;6,493.50
Feb 6, 2019;Feb 7, 2019;21,763.75;-;56,409.50;11,154.25;2,334.75;63,944.25;189,863.25;79,846.00;162,636.50;2,930.50;7,149.25
Feb 7, 2019;Feb 8, 2019;21,626.75;-;131,029.00;8,196.25;2,319.75;63,776.00;163,261.25;50,175.25;96,139.00;4,815.00;7,141.25
