Start date;End date;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Jan 1, 2019;Jan 2, 2019;50,180.00;17,492.75;36,964.50;307,360.50;3,717.25;605.50;68,105.00;447.00;15,999.00;20,610.00;479.75;7,191.00
Jan 2, 2019;Jan 3, 2019;50,928.25;15,791.50;55,946.00;221,812.25;13,649.25;636.50;81,504.25;467.00;30,336.25;31,569.50;1,879.00;7,027.00
Jan 3, 2019;Jan 4, 2019;51,733.50;16,103.75;51,700.75;64,067.00;9,986.00;717.75;98,884.25;432.00;87,322.25;47,543.75;3,099.00;6,066.00
Jan 4, 2019;Jan 5, 2019;52,249.25;17,346.75;69,425.25;211,019.00;2,480.50;664.75;93,279.25;448.00;46,408.25;42,713.75;1,179.25;5,347.00
Jan 5, 2019;Jan 6, 2019;51,733.75;16,242.50;76,474.00;219,030.75;2,287.50;606.75;90,870.25;456.00;33,128.50;36,417.00;928.00;5,368.00
Jan 6, 2019;Jan 7, 2019;51,732.50;16,475.00;62,733.50;92,577.75;4,418.50;591.50;97,214.75;447.00;51,400.00;36,036.00;1,339.00;5,368.00
Jan 7, 2019;Jan 8, 2019;51,652.00;20,417.75;60,782.75;178,862.50;3,545.50;644.50;95,150.50;441.00;79,268.00;42,546.50;3,483.50;5,368.00
Jan 8, 2019;Jan 9, 2019;51,024.00;19,653.75;66,656.50;344,382.50;5,003.00;692.00;88,008.75;460.00;33,214.00;36,846.75;1,309.25;7,450.00
Jan 9, 2019;Jan 10, 2019;51,129.75;19,259.25;83,735.25;253,369.50;4,611.50;664.25;93,590.75;438.00;38,720.00;41,637.00;2,164.50;5,544.00
Jan 10, 2019;Jan 11, 2019;51,909.50;24,808.25;18,235.00;53,698.25;3,371.50;717.75;98,682.25;431.00;118,925.00;47,968.00;3,519.25;6,095.25
Jan 11, 2019;Jan 12, 2019;52,340.50;21,088.75;84,367.25;176,567.25;2,456.50;687.75;90,771.75;443.00;74,049.00;46,284.00;1,247.25;5,760.00
Jan 12, 2019;Jan 13, 2019;51,926.75;17,338.00;90,277.00;258,649.50;2,342.00;714.25;85,749.50;456.00;31,433.25;39,016.75;536.25;5,864.00
Jan 13, 2019;Jan 14, 2019;51,181.50;16,904.25;85,683.50;308,679.00;2,574.00;711.25;83,839.25;456.00;25,062.50;27,190.25;809.75;5,792.00
Jan 14, 2019;Jan 15, 2019;51,179.00;22,220.00;81,215.75;277,862.75;8,389.00;719.25;82,196.75;435.00;34,030.75;42,415.00;3,253.75;5,792.00
Jan 15, 2019;Jan 16, 2019;51,066.50;20,356.75;63,086.50;292,822.50;4,641.00;730.00;88,390.75;451.00;41,815.00;47,710.50;1,730.50;5,728.00
Jan 16, 2019;Jan 17, 2019;51,283.50;17,885.00;84,605.00;262,558.25;13,815.50;717.00;88,056.25;453.00;36,600.75;46,252.75;1,479.00;5,855.00
Jan 17, 2019;Jan 18, 2019;51,557.25;17,116.00;93,443.50;247,727.50;7,544.75;703.25;88,812.75;449.00;46,642.25;42,193.00;1,820.75;5,891.00
Jan 18, 2019;Jan 19, 2019;51,966.50;21,808.25;19,819.25;75,980.75;17,240.50;735.75;97,208.00;441.00;100,117.75;49,251.00;3,862.25;5,899.25
Jan 19, 2019;Jan 20, 2019;52,327.50;20,012.00;21,992.50;46,184.00;27,500.25;753.75;98,957.50;435.00;108,953.25;37,968.75;2,480.25;5,912.00
Jan 20, 2019;Jan 21, 2019;52,414.75;18,925.25;5,121.75;24,094.75;20,001.75;720.00;98,727.50;431.00;102,072.75;40,014.50;1,725.75;5,480.00
Jan 21, 2019;Jan 22, 2019;52,400.75;24,426.75;24,117.50;56,322.25;21,162.25;632.75;98,594.25;435.00;112,515.00;58,854.75;4,181.25;5,563.75
Jan 22, 2019;Jan 23, 2019;52,808.25;26,062.75;91,496.75;97,070.00;10,289.75;622.25;98,491.00;441.00;96,432.50;50,320.75;2,574.75;5,561.25
Jan 23, 2019;Jan 24, 2019;52,861.00;28,662.25;18,218.75;42,752.50;7,252.75;698.75;98,751.25;436.00;109,384.25;66,073.25;2,939.50;5,512.25
Jan 24, 2019;Jan 25, 2019;53,109.00;28,794.50;8,784.50;12,226.00;5,514.50;719.00;99,052.50;413.00;109,532.25;69,671.75;3,317.25;8,703.00
Jan 25, 2019;Jan 26, 2019;53,253.00;24,541.50;54,801.00;57,926.75;5,746.25;720.75;98,765.50;417.00;97,679.25;57,321.25;3,659.50;7,554.00
Jan 26, 2019;Jan 27, 2019;52,570.50;18,351.75;63,314.00;173,863.00;3,924.25;690.00;98,089.50;458.00;47,188.50;35,635.25;3,560.50;7,875.00
Jan 27, 2019;Jan 28, 2019;52,100.25;15,002.00;68,057.00;191,208.00;8,828.00;678.00;95,953.50;459.00;34,517.75;30,944.25;2,303.25;7,875.00
Jan 28, 2019;Jan 29, 2019;51,456.25;14,684.50;70,200.50;151,892.50;7,262.50;697.00;97,634.25;453.00;72,005.50;36,786.75;1,044.00;7,886.00
Jan 29, 2019;Jan 30, 2019;51,976.00;20,504.25;71,898.75;109,175.50;13,022.50;657.50;98,327.75;441.00;107,822.75;46,376.00;3,762.50;7,937.00
Jan 30, 2019;Jan 31, 2019;52,764.25;18,871.75;66,052.50;149,160.25;12,164.25;612.00;93,782.75;440.00;94,105.50;52,666.25;1,995.75;7,488.00
