Start date;End date;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Jul 1, 2022;Jul 2, 2022;14,472.00;14,831.00;6,557.00;18,479.00;288.00;31,041.50;31,861.00;4,887.75;5,745.50;3,024.00
Jul 2, 2022;Jul 3, 2022;14,472.00;12,983.00;3,304.75;43,606.00;288.00;31,013.00;30,336.00;4,496.00;6,713.50;3,024.00
Jul 3, 2022;Jul 4, 2022;14,472.00;12,809.00;4,684.00;42,042.25;288.00;30,836.50;16,006.25;4,553.00;2,781.50;3,024.00
Jul 4, 2022;Jul 5, 2022;14,472.00;13,014.00;2,123.50;32,197.75;288.00;30,817.00;31,356.75;4,731.75;10,810.50;3,024.00
Jul 5, 2022;Jul 6, 2022;14,472.00;14,215.00;2,087.00;38,981.75;288.00;30,853.75;43,783.50;4,736.75;9,757.50;4,706.25
Jul 6, 2022;Jul 7, 2022;14,472.00;14,355.75;4,858.00;38,053.00;288.00;30,905.00;38,765.25;4,637.25;9,651.00;3,024.00
Jul 7, 2022;Jul 8, 2022;14,472.00;12,811.25;9,660.50;17,653.50;288.00;30,999.00;37,288.25;4,535.00;9,765.50;3,024.00
Jul 8, 2022;Jul 9, 2022;14,472.00;14,222.50;3,039.25;39,070.00;288.00;31,081.50;41,445.25;4,568.75;12,853.25;4,353.75
Jul 9, 2022;Jul 10, 2022;14,472.00;11,586.25;2,643.25;33,274.25;288.00;30,867.00;33,255.50;4,512.00;5,666.75;3,024.00
Jul 10, 2022;Jul 11, 2022;14,472.00;10,227.50;4,503.75;33,878.50;288.00;30,808.75;23,784.50;4,542.00;5,946.00;3,024.00
Jul 11, 2022;Jul 12, 2022;14,472.00;11,721.88;1,449.25;31,403.75;288.00;30,910.75;36,142.63;4,692.25;10,866.50;3,024.00
Jul 12, 2022;Jul 13, 2022;14,472.00;11,854.50;892.25;40,246.50;288.00;30,887.25;35,903.00;4,633.50;13,042.75;3,889.75
Jul 13, 2022;Jul 14, 2022;14,472.00;11,464.25;2,467.50;33,558.25;288.00;30,827.00;36,956.50;4,616.50;9,523.50;4,554.00
Jul 14, 2022;Jul 15, 2022;14,472.00;10,844.50;9,200.75;35,893.50;288.00;30,753.50;26,028.75;4,583.75;8,319.50;3,249.25
Jul 15, 2022;Jul 16, 2022;14,472.00;10,050.75;2,562.25;38,168.25;288.00;30,977.00;20,876.50;4,509.75;9,106.75;3,024.00
Jul 16, 2022;Jul 17, 2022;14,472.00;9,547.00;2,064.50;40,396.00;288.00;31,018.75;22,769.25;4,512.00;7,243.25;3,024.00
Jul 17, 2022;Jul 18, 2022;14,472.00;9,705.25;3,546.75;41,445.50;288.00;30,998.00;16,776.50;4,512.00;6,793.25;3,024.00
Jul 18, 2022;Jul 19, 2022;14,472.00;10,539.50;1,157.50;39,408.50;288.00;30,876.63;23,073.50;4,533.25;10,129.88;3,024.00
Jul 19, 2022;Jul 20, 2022;14,472.00;10,362.25;6,613.75;39,905.00;288.00;30,698.50;22,597.75;4,662.25;9,316.75;3,192.25
Jul 20, 2022;Jul 21, 2022;14,472.00;11,796.00;9,340.00;32,865.25;288.00;30,502.25;22,738.00;4,806.63;11,593.50;3,045.75
Jul 21, 2022;Jul 22, 2022;14,472.00;11,846.50;5,227.25;31,936.00;288.00;30,662.25;27,372.75;4,956.50;12,275.25;3,505.75
Jul 22, 2022;Jul 23, 2022;14,472.00;8,997.25;1,332.25;39,538.75;288.00;30,627.25;11,869.50;4,890.75;8,847.00;3,024.00
Jul 23, 2022;Jul 24, 2022;14,472.00;10,150.50;4,621.25;28,498.25;288.00;30,567.00;15,478.25;4,511.25;8,065.25;3,024.00
Jul 24, 2022;Jul 25, 2022;14,472.00;9,881.00;423.25;37,864.75;288.00;30,555.25;9,261.75;4,557.50;8,589.75;3,024.00
Jul 25, 2022;Jul 26, 2022;14,472.00;8,985.75;11,601.25;34,667.75;288.00;30,473.00;19,781.25;4,625.50;4,258.50;3,024.00
Jul 26, 2022;Jul 27, 2022;14,472.00;10,452.25;5,414.00;32,498.25;288.00;30,719.75;37,416.50;4,752.75;11,190.50;3,024.00
Jul 27, 2022;Jul 28, 2022;14,472.00;9,240.75;3,307.50;30,623.75;288.00;30,844.25;31,827.75;5,009.25;5,570.75;3,063.50
Jul 28, 2022;Jul 29, 2022;14,472.00;10,435.50;7,912.00;35,243.75;288.00;30,736.00;17,716.00;4,800.00;5,889.25;3,024.00
Jul 29, 2022;Jul 30, 2022;14,472.00;11,612.75;3,583.00;23,139.00;288.00;30,605.75;22,186.00;4,753.25;9,422.00;3,024.00
Jul 30, 2022;Jul 31, 2022;14,472.00;10,156.50;5,766.25;33,909.25;288.00;30,774.50;37,499.25;4,807.25;7,779.25;3,024.00
Jul 31, 2022;Aug 1, 2022;14,472.00;9,012.00;2,711.00;31,262.00;288.00;30,715.00;38,859.50;4,556.25;3,708.00;3,024.00
Aug 1, 2022;Aug 2, 2022;14,472.00;10,312.25;4,655.25;28,995.00;288.00;30,688.50;45,007.25;4,627.75;7,550.25;3,024.00
Aug 2, 2022;Aug 3, 2022;14,472.00;9,260.25;1,212.00;36,460.75;288.00;30,650.50;40,257.00;4,469.25;8,566.00;3,024.00
Aug 3, 2022;Aug 4, 2022;14,472.00;11,324.75;557.75;37,959.50;288.00;30,566.25;30,549.25;4,687.00;14,084.50;3,315.50
Aug 4, 2022;Aug 5, 2022;14,472.00;10,683.75;2,633.75;36,670.25;288.00;29,306.00;31,567.75;4,665.50;10,971.50;6,479.25
Aug 5, 2022;Aug 6, 2022;14,472.00;10,606.50;8,107.75;31,764.25;288.00;30,472.00;36,205.50;4,541.25;8,691.25;3,828.50
Aug 6, 2022;Aug 7, 2022;14,472.00;8,917.00;5,985.00;29,246.25;288.00;30,784.25;32,847.75;4,474.00;8,355.50;3,024.00
Aug 7, 2022;Aug 8, 2022;14,472.00;9,044.75;7,917.50;37,438.75;288.00;30,826.00;28,217.75;4,479.25;4,404.25;3,024.00
Aug 8, 2022;Aug 9, 2022;14,472.00;8,545.00;3,784.50;38,884.75;288.00;30,740.00;28,510.50;4,533.25;8,735.50;3,024.00
Aug 9, 2022;Aug 10, 2022;14,472.00;9,518.00;8,784.50;38,897.75;288.00;30,691.00;28,855.50;4,497.75;8,097.50;3,024.00
Aug 10, 2022;Aug 11, 2022;14,472.00;9,105.00;14,728.75;38,953.00;288.00;30,636.50;25,876.00;4,503.00;10,642.25;3,024.00
Aug 11, 2022;Aug 12, 2022;14,472.00;10,482.25;12,465.00;38,555.50;288.00;30,644.25;6,153.25;5,874.75;12,891.00;3,025.00
Aug 12, 2022;Aug 13, 2022;14,472.00;10,658.25;10,889.75;36,983.25;288.00;30,691.00;6,263.75;4,478.75;12,047.50;3,024.00
Aug 13, 2022;Aug 14, 2022;14,472.00;10,671.25;6,635.50;36,682.50;288.00;30,744.50;6,057.50;4,485.50;9,172.00;3,024.00
Aug 14, 2022;Aug 15, 2022;14,472.00;9,582.00;3,998.75;34,933.75;288.00;30,727.25;6,470.50;4,486.25;6,667.75;3,024.00
Aug 15, 2022;Aug 16, 2022;14,472.00;9,417.25;9,358.75;28,458.00;288.00;30,545.25;6,420.50;4,519.75;9,753.50;3,024.00
Aug 16, 2022;Aug 17, 2022;14,472.00;9,881.25;2,361.50;33,270.75;288.00;30,536.00;6,388.00;4,509.00;10,489.50;3,024.00
Aug 17, 2022;Aug 18, 2022;14,472.00;9,716.75;4,003.50;22,186.50;288.00;30,573.75;6,568.25;4,473.00;8,103.00;3,024.00
Aug 18, 2022;Aug 19, 2022;14,472.00;8,277.50;3,674.50;19,109.50;288.00;30,457.00;10,898.25;4,474.25;4,270.00;3,024.00
Aug 19, 2022;Aug 20, 2022;14,472.00;11,122.50;4,270.00;9,335.50;288.00;30,571.00;16,293.75;4,486.75;9,009.00;3,024.00
Aug 20, 2022;Aug 21, 2022;14,472.00;14,397.25;6,187.00;20,053.75;288.00;30,656.75;15,697.00;4,488.00;6,870.25;3,024.00
Aug 21, 2022;Aug 22, 2022;14,472.00;11,946.50;1,706.50;35,451.75;288.00;30,773.00;16,687.50;4,487.75;3,859.00;3,024.00
Aug 22, 2022;Aug 23, 2022;14,472.00;11,288.75;3,110.50;33,895.00;288.00;30,663.25;27,646.75;4,653.00;3,758.25;3,024.00
Aug 23, 2022;Aug 24, 2022;14,472.00;10,704.50;1,302.25;35,507.50;288.00;30,754.25;27,186.25;4,962.50;5,587.00;3,029.00
Aug 24, 2022;Aug 25, 2022;14,472.00;11,177.50;4,067.25;34,658.00;288.00;30,684.00;27,552.50;4,684.50;6,641.75;3,024.00
Aug 25, 2022;Aug 26, 2022;14,472.00;10,455.25;3,984.75;33,631.50;288.00;30,545.00;30,641.50;4,471.50;6,933.50;3,024.00
Aug 26, 2022;Aug 27, 2022;14,472.00;10,719.50;2,018.00;25,910.25;288.00;30,523.75;28,837.25;4,485.00;6,406.50;3,024.00
Aug 27, 2022;Aug 28, 2022;14,472.00;11,708.00;1,346.75;12,993.50;288.00;30,512.00;28,622.75;4,488.00;4,831.75;3,024.00
Aug 28, 2022;Aug 29, 2022;14,472.00;10,381.25;2,051.25;24,478.50;288.00;30,501.25;24,937.75;4,487.25;2,599.00;3,024.00
Aug 29, 2022;Aug 30, 2022;14,472.00;10,074.50;2,800.25;32,930.25;288.00;30,617.75;40,880.75;4,478.00;6,487.25;3,024.00
Aug 30, 2022;Aug 31, 2022;14,472.00;10,303.00;3,805.25;29,957.25;288.00;30,555.25;51,101.50;4,484.50;4,449.50;3,024.00
Aug 31, 2022;Sep 1, 2022;14,472.00;10,761.75;5,148.00;15,371.00;288.00;30,625.75;47,771.00;4,487.50;9,235.50;3,024.00
Sep 1, 2022;Sep 2, 2022;14,472.00;10,510.75;5,455.25;24,896.75;288.00;30,667.00;44,506.75;4,476.50;7,403.50;3,024.00
Sep 2, 2022;Sep 3, 2022;14,472.00;9,850.50;10,225.25;34,474.25;288.00;30,865.00;45,588.75;4,537.50;8,044.00;3,024.00
Sep 3, 2022;Sep 4, 2022;14,472.00;9,357.50;5,555.50;19,682.00;288.00;30,751.25;28,415.50;4,488.00;10,238.75;3,024.00
Sep 4, 2022;Sep 5, 2022;14,472.00;10,482.75;603.50;30,136.50;288.00;30,662.25;29,864.50;4,479.75;5,523.00;3,024.00
Sep 5, 2022;Sep 6, 2022;14,472.00;10,826.25;1,998.50;29,597.75;288.00;30,711.75;47,316.00;4,488.00;9,348.00;3,024.00
Sep 6, 2022;Sep 7, 2022;14,472.00;11,464.25;2,918.25;22,446.25;288.00;30,517.25;50,517.00;4,488.00;11,455.75;3,024.00
Sep 7, 2022;Sep 8, 2022;14,472.00;10,294.25;4,596.25;26,677.75;288.00;30,558.00;51,340.75;4,488.00;7,606.75;3,024.00
Sep 8, 2022;Sep 9, 2022;14,472.00;10,774.00;11,979.50;22,311.50;288.00;30,810.00;48,999.75;4,488.00;6,915.50;3,024.00
Sep 9, 2022;Sep 10, 2022;14,472.00;11,380.50;11,925.25;23,127.50;288.00;30,899.75;40,653.75;4,485.50;8,063.75;3,024.00
Sep 10, 2022;Sep 11, 2022;14,472.00;10,874.50;15,876.25;15,276.00;288.00;31,003.00;43,086.00;4,488.00;4,531.00;3,024.00
Sep 11, 2022;Sep 12, 2022;14,472.00;10,963.25;7,809.75;19,942.50;288.00;30,931.25;34,881.25;4,486.75;7,611.50;3,024.00
Sep 12, 2022;Sep 13, 2022;14,472.00;10,826.50;1,067.75;31,492.50;288.00;30,933.00;48,931.25;4,578.25;13,430.00;3,024.25
Sep 13, 2022;Sep 14, 2022;14,472.00;11,323.00;2,582.50;22,573.50;288.00;30,873.50;51,931.25;5,482.25;13,675.25;4,030.75
Sep 14, 2022;Sep 15, 2022;14,472.00;12,229.75;13,360.25;13,294.75;288.00;30,656.00;58,630.00;4,511.00;16,419.00;3,024.00
Sep 15, 2022;Sep 16, 2022;14,472.00;11,021.25;11,913.50;10,545.50;288.00;30,704.25;64,100.50;4,488.00;12,404.50;3,024.00
Sep 16, 2022;Sep 17, 2022;14,472.00;11,624.75;7,140.75;11,808.50;288.00;31,070.75;44,399.75;4,486.50;8,789.25;4,421.00
Sep 17, 2022;Sep 18, 2022;14,472.00;10,914.75;16,183.75;16,950.00;288.00;30,573.50;43,680.75;4,488.00;9,239.50;3,024.00
Sep 18, 2022;Sep 19, 2022;14,472.00;12,008.50;22,670.25;12,657.50;288.00;31,274.50;35,800.00;4,488.00;9,229.50;3,024.00
Sep 19, 2022;Sep 20, 2022;14,472.00;13,398.25;13,340.75;18,064.25;288.00;31,327.50;45,213.25;4,488.00;11,686.75;3,024.00
Sep 20, 2022;Sep 21, 2022;14,472.00;13,011.75;3,792.75;20,328.25;288.00;31,367.25;71,510.00;4,488.00;7,781.25;3,024.00
Sep 21, 2022;Sep 22, 2022;14,472.00;13,052.25;4,142.75;29,973.25;288.00;31,364.00;60,914.00;4,487.75;10,404.25;3,024.00
Sep 22, 2022;Sep 23, 2022;14,472.00;12,219.50;4,893.25;32,099.00;288.00;31,339.50;61,398.75;4,488.00;12,437.25;3,024.00
Sep 23, 2022;Sep 24, 2022;14,472.00;12,312.75;3,487.00;26,417.75;288.00;31,297.25;66,044.25;4,476.00;11,138.50;3,024.00
Sep 24, 2022;Sep 25, 2022;14,472.00;10,087.25;1,500.00;10,276.50;288.00;31,143.25;46,682.75;4,464.50;6,849.50;3,024.00
Sep 25, 2022;Sep 26, 2022;14,472.00;11,006.50;1,079.25;10,856.00;288.00;31,165.50;47,328.00;4,487.25;8,727.00;3,024.00
Sep 26, 2022;Sep 27, 2022;14,472.00;10,964.25;10,048.75;18,121.50;288.00;31,114.00;46,358.75;4,488.00;5,976.50;3,024.00
Sep 27, 2022;Sep 28, 2022;14,472.00;13,242.50;23,583.50;12,265.25;288.00;31,266.00;49,829.25;4,488.00;13,924.25;3,024.00
Sep 28, 2022;Sep 29, 2022;14,472.00;14,807.50;10,709.00;10,593.00;288.00;31,339.00;60,734.75;4,487.50;10,470.75;4,179.00
Sep 29, 2022;Sep 30, 2022;14,472.00;15,476.75;1,028.50;12,406.00;288.00;31,302.25;57,871.00;4,488.00;15,077.75;3,024.00
Sep 30, 2022;Oct 1, 2022;14,472.00;15,170.25;863.50;18,172.25;288.00;31,239.50;54,589.25;4,488.00;12,898.50;3,024.00
Oct 1, 2022;Oct 2, 2022;14,472.00;13,037.25;24,900.25;4,781.00;288.00;31,276.75;27,595.00;4,475.75;5,383.00;3,024.00
Oct 2, 2022;Oct 3, 2022;14,472.00;13,622.75;13,060.50;7,869.00;288.00;31,119.75;28,239.50;4,464.00;6,766.50;3,024.00
Oct 3, 2022;Oct 4, 2022;14,472.00;16,229.75;1,704.25;19,812.75;288.00;31,204.75;40,047.00;4,469.00;13,699.75;3,024.00
Oct 4, 2022;Oct 5, 2022;14,472.00;17,149.00;2,789.50;23,188.25;288.00;31,238.75;35,093.00;4,483.50;13,184.25;3,024.00
Oct 5, 2022;Oct 6, 2022;14,472.00;14,697.75;10,605.25;26,157.50;288.00;31,009.25;38,708.00;4,488.00;9,230.00;3,024.00
Oct 6, 2022;Oct 7, 2022;14,472.00;15,241.75;6,338.50;17,786.75;288.00;31,064.00;56,204.25;4,477.50;13,989.00;3,024.00
Oct 7, 2022;Oct 8, 2022;14,472.00;14,812.50;1,600.25;17,494.25;288.00;31,043.25;64,763.50;4,488.00;15,219.25;3,474.75
Oct 8, 2022;Oct 9, 2022;14,472.00;12,673.25;5,590.75;15,337.75;288.00;31,106.25;40,939.25;4,488.00;7,238.00;3,024.00
