Start date;End date;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Jan 1, 2015;Jan 2, 2015;29,339.75;3,435.25;1,147.50;122,719.50;7,245.00;691.75;142,564.00;10,320.25;10,030.75;13,005.50;12,933.75
Jan 2, 2015;Jan 3, 2015;28,973.00;3,390.75;946.00;245,318.25;1,692.50;1,445.00;97,111.00;5,580.00;9,865.75;12,353.50;13,826.50
Jan 3, 2015;Jan 4, 2015;28,965.25;3,390.25;1,083.25;221,648.75;2,620.25;1,780.75;110,086.75;6,732.00;11,801.50;9,804.75;14,195.25
Jan 4, 2015;Jan 5, 2015;28,906.75;3,383.50;1,087.25;199,575.00;4,773.50;1,763.50;111,020.50;7,805.50;10,276.75;11,643.50;14,250.00
Jan 5, 2015;Jan 6, 2015;28,611.50;3,349.25;387.00;127,987.25;1,934.50;1,729.75;167,277.25;24,064.75;15,281.25;10,020.50;14,036.75
Jan 6, 2015;Jan 7, 2015;27,598.50;3,230.25;634.75;49,592.50;5,751.75;1,741.50;182,690.75;33,155.50;17,083.00;9,571.50;13,983.25
Jan 7, 2015;Jan 8, 2015;28,506.50;3,336.00;901.50;90,869.25;2,767.25;1,776.00;206,575.25;22,473.00;17,527.25;8,404.75;14,484.25
Jan 8, 2015;Jan 9, 2015;28,394.50;3,322.75;1,136.50;160,030.50;1,550.25;1,518.00;179,297.75;25,452.25;14,854.75;14,570.75;14,204.75
Jan 9, 2015;Jan 10, 2015;29,361.00;3,437.00;1,056.00;255,261.00;1,343.75;1,558.25;138,331.75;5,140.75;12,525.00;13,164.75;13,228.75
Jan 10, 2015;Jan 11, 2015;29,227.00;3,420.75;648.50;235,828.50;2,637.25;1,809.25;130,902.75;4,694.50;7,741.25;9,820.25;13,730.50
Jan 11, 2015;Jan 12, 2015;28,520.50;3,338.00;879.00;253,542.00;3,664.75;1,795.75;100,564.75;6,219.25;7,693.00;8,867.50;14,099.75
Jan 12, 2015;Jan 13, 2015;28,953.75;3,388.50;1,151.75;239,155.25;1,226.25;1,681.25;130,329.25;9,635.75;12,052.00;6,943.25;13,032.00
Jan 13, 2015;Jan 14, 2015;28,709.50;3,362.00;1,041.25;217,884.75;9,444.50;634.00;146,786.25;13,805.50;12,560.50;9,479.50;12,231.50
Jan 14, 2015;Jan 15, 2015;28,621.00;3,350.25;994.00;153,329.00;6,772.50;1,500.50;195,892.25;9,894.25;12,965.75;5,863.75;14,150.50
Jan 15, 2015;Jan 16, 2015;28,993.25;3,394.00;1,109.25;197,822.50;2,818.50;1,754.75;155,572.25;10,208.00;15,035.25;14,043.50;13,751.75
Jan 16, 2015;Jan 17, 2015;29,246.00;3,422.75;972.75;94,656.25;4,718.50;1,702.00;189,517.50;15,189.25;15,215.75;10,492.75;13,030.00
Jan 17, 2015;Jan 18, 2015;29,358.00;3,437.25;859.75;35,828.25;5,352.25;1,645.75;216,280.50;23,782.00;13,595.25;11,699.25;13,124.25
Jan 18, 2015;Jan 19, 2015;29,346.25;3,435.75;430.50;49,076.25;11,870.75;1,774.75;225,455.50;35,224.75;15,339.75;10,983.75;12,971.75
Jan 19, 2015;Jan 20, 2015;28,980.25;3,392.50;257.00;22,105.25;3,965.75;1,769.00;231,318.00;43,205.25;19,457.75;8,838.25;12,932.50
Jan 20, 2015;Jan 21, 2015;29,250.75;3,424.25;307.25;12,249.50;1,989.75;1,759.50;230,175.00;43,062.50;19,586.00;9,057.25;13,343.00
Jan 21, 2015;Jan 22, 2015;29,645.75;3,471.00;76.75;10,134.25;4,226.50;1,784.25;212,410.00;43,021.25;19,286.75;6,036.25;14,601.25
Jan 22, 2015;Jan 23, 2015;29,344.00;3,435.00;16.25;26,606.00;1,214.00;1,757.75;196,844.50;42,886.50;19,455.25;11,728.75;14,359.25
Jan 23, 2015;Jan 24, 2015;28,604.75;3,349.00;73.75;13,003.25;1,277.50;1,751.50;198,868.75;42,817.25;19,561.25;12,344.00;14,444.25
Jan 24, 2015;Jan 25, 2015;29,202.25;3,418.50;750.25;40,344.50;4,882.25;1,736.75;200,856.75;40,661.25;18,597.50;10,314.50;14,618.50
Jan 25, 2015;Jan 26, 2015;29,333.00;3,433.75;355.00;41,688.50;2,876.25;1,613.00;205,652.00;38,462.00;16,691.50;10,987.50;14,677.00
Jan 26, 2015;Jan 27, 2015;29,240.50;3,422.25;719.00;73,604.50;4,164.00;1,724.00;196,531.75;35,935.75;19,275.25;11,294.75;14,611.00
Jan 27, 2015;Jan 28, 2015;29,402.75;3,441.50;862.00;130,692.25;4,194.50;1,564.00;175,390.75;31,442.00;19,622.50;9,669.50;14,642.75
Jan 28, 2015;Jan 29, 2015;29,033.00;3,395.00;996.50;151,034.50;5,297.25;1,617.25;151,112.00;35,332.25;16,647.75;9,918.50;15,786.75
Jan 29, 2015;Jan 30, 2015;29,291.25;3,429.00;1,103.00;164,843.75;9,022.25;1,491.75;135,008.75;33,384.25;16,811.00;16,222.00;16,599.00
Jan 30, 2015;Jan 31, 2015;28,973.75;3,391.75;147.50;62,652.75;3,149.75;1,695.25;190,450.75;42,770.75;18,445.25;12,222.50;16,595.75
Jan 31, 2015;Feb 1, 2015;28,611.50;3,347.50;827.75;73,291.00;2,925.00;1,762.75;181,653.50;39,547.75;14,218.50;10,842.00;16,224.25
Feb 1, 2015;Feb 2, 2015;29,031.25;3,399.00;1,056.25;60,912.75;8,931.50;1,761.25;193,328.75;35,173.00;16,337.50;11,992.25;15,653.25
Feb 2, 2015;Feb 3, 2015;28,889.25;3,382.25;557.75;85,182.75;8,322.25;1,730.25;198,215.75;41,967.00;18,643.50;12,228.75;16,241.75
Feb 3, 2015;Feb 4, 2015;28,935.75;3,385.75;263.25;50,891.50;5,172.50;1,711.00;194,934.25;48,756.00;19,360.00;8,592.00;16,370.50
Feb 4, 2015;Feb 5, 2015;28,908.25;3,384.25;198.25;13,446.00;2,337.50;1,666.00;183,336.00;53,877.25;19,246.50;8,514.25;16,257.75
Feb 5, 2015;Feb 6, 2015;28,578.00;3,353.00;141.00;27,173.50;4,771.75;1,721.00;184,782.25;55,643.75;19,602.25;11,443.75;15,365.50
Feb 6, 2015;Feb 7, 2015;28,717.50;3,362.75;237.25;40,191.00;4,548.25;1,743.50;190,629.75;41,820.25;19,623.25;13,304.75;15,189.25
Feb 7, 2015;Feb 8, 2015;28,968.25;3,390.50;1,093.00;109,102.75;9,455.25;1,421.75;157,071.75;35,693.50;16,273.75;12,362.50;15,139.00
