Start date;End date;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Jan 1, 2015;Jan 2, 2015;5,400.00;-;38,828.00;5,690.25;816.00;74,291.25;165,709.25;7,279.50;24.00;537.00;120,347.25
Jan 2, 2015;Jan 3, 2015;5,400.00;-;93,009.75;2,939.75;816.00;62,032.25;159,735.25;7,763.50;24.00;1,478.75;129,618.00
Jan 3, 2015;Jan 4, 2015;5,400.00;-;44,720.50;1,419.50;816.00;68,351.50;186,192.00;8,921.50;24.00;1,899.50;118,379.50
Jan 4, 2015;Jan 5, 2015;5,400.00;-;42,377.00;7,198.75;816.00;72,678.25;176,466.00;8,777.00;24.00;1,832.75;112,300.25
Jan 5, 2015;Jan 6, 2015;5,400.00;-;19,081.00;9,452.75;816.00;79,648.50;230,298.75;46,467.75;2,146.00;1,578.00;187,871.25
Jan 6, 2015;Jan 7, 2015;5,400.00;-;17,460.50;8,878.00;816.00;79,739.25;232,004.50;86,762.50;24.00;958.50;196,582.75
Jan 7, 2015;Jan 8, 2015;5,400.00;-;33,529.50;6,106.25;816.00;79,576.25;217,141.75;95,990.00;9,970.25;2,516.25;204,025.00
Jan 8, 2015;Jan 9, 2015;5,400.00;-;93,147.00;1,751.75;816.00;79,255.25;211,578.75;79,288.50;23.00;3,050.75;167,340.75
Jan 9, 2015;Jan 10, 2015;5,400.00;-;126,279.50;1,568.50;816.00;77,739.25;193,220.75;26,058.00;24.00;4,239.25;132,335.50
Jan 10, 2015;Jan 11, 2015;5,400.00;-;129,684.00;4,697.75;816.00;74,717.25;89,216.25;8,648.00;24.00;1,613.25;124,214.00
Jan 11, 2015;Jan 12, 2015;5,400.00;-;114,997.75;5,476.75;816.00;70,740.75;83,754.75;7,719.50;24.00;516.50;117,187.25
Jan 12, 2015;Jan 13, 2015;5,400.00;-;129,186.00;2,363.50;816.00;77,645.50;189,022.25;30,306.00;23.25;2,849.25;3,328.50
Jan 13, 2015;Jan 14, 2015;5,400.00;-;114,079.25;10,134.00;816.00;77,550.25;196,178.00;49,147.50;24.25;3,771.50;3,420.25
Jan 14, 2015;Jan 15, 2015;5,400.00;-;93,060.50;3,289.25;816.00;77,764.75;194,123.50;77,721.25;24.00;4,900.00;3,569.25
Jan 15, 2015;Jan 16, 2015;5,400.00;-;121,717.25;4,552.25;816.00;77,189.25;217,198.50;45,615.00;24.00;2,739.00;124,855.50
Jan 16, 2015;Jan 17, 2015;5,400.00;-;33,918.00;5,379.50;816.00;77,806.25;215,883.50;85,557.25;23.50;1,681.75;181,096.50
Jan 17, 2015;Jan 18, 2015;5,400.00;-;20,240.25;7,561.75;816.00;79,524.75;205,665.25;89,284.00;24.00;2,188.50;142,674.25
Jan 18, 2015;Jan 19, 2015;5,400.00;-;28,665.50;5,628.50;816.00;79,525.25;190,958.25;69,406.00;21.75;1,438.75;131,313.25
Jan 19, 2015;Jan 20, 2015;5,400.00;-;2,787.25;5,892.00;816.00;79,497.25;213,840.25;71,110.00;29,544.00;1,609.75;222,006.50
Jan 20, 2015;Jan 21, 2015;5,400.00;-;907.50;3,990.75;816.00;79,445.50;230,248.00;70,039.75;38,092.75;3,837.75;236,335.50
Jan 21, 2015;Jan 22, 2015;5,400.00;-;15,202.50;7,519.75;816.00;79,381.00;233,911.25;81,034.75;40,023.25;1,984.75;228,217.50
