Start date;End date;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Jan 1, 2015;Jan 2, 2015;50,253.50;12,915.50;11,361.00;137,099.50;3,437.50;450.25;114,699.25;6,326.75;25,498.00;13,751.50;5,143.75;835.75
Jan 2, 2015;Jan 3, 2015;50,527.75;12,619.75;9,383.25;248,201.75;2,839.25;459.25;98,771.75;499.00;31,261.75;20,030.00;6,792.00;5,317.00
Jan 3, 2015;Jan 4, 2015;50,211.00;14,442.75;11,036.25;186,151.00;2,570.50;464.00;113,441.00;446.00;29,948.25;17,965.25;7,641.25;6,721.00
Jan 4, 2015;Jan 5, 2015;51,230.25;25,056.25;10,451.25;133,540.75;4,846.00;479.25;114,325.00;415.00;29,467.50;11,169.25;6,102.00;5,944.00
Jan 5, 2015;Jan 6, 2015;51,089.25;20,122.50;7,358.50;71,846.75;7,130.25;485.25;122,843.00;7,597.00;68,996.50;17,723.75;7,386.75;5,968.00
Jan 6, 2015;Jan 7, 2015;50,163.75;17,513.00;6,253.00;35,036.75;10,760.75;498.75;129,308.75;8,907.00;90,290.00;25,766.50;5,259.25;6,910.00
Jan 7, 2015;Jan 8, 2015;50,476.00;17,048.75;9,791.75;84,706.00;5,542.00;489.75;130,474.25;8,865.25;80,523.50;28,856.50;7,540.75;6,913.00
Jan 8, 2015;Jan 9, 2015;50,737.75;17,683.25;11,198.25;160,828.75;3,339.25;481.25;128,274.00;8,112.75;66,998.00;23,784.00;5,670.50;8,029.50
Jan 9, 2015;Jan 10, 2015;51,137.75;17,923.75;7,744.25;243,941.25;2,471.25;433.00;123,110.25;500.75;49,977.50;26,966.75;6,890.00;8,044.25
Jan 10, 2015;Jan 11, 2015;51,447.00;25,111.00;5,856.25;247,599.50;8,352.25;389.25;123,298.50;284.00;25,939.25;13,661.50;7,767.50;1,499.00
Jan 11, 2015;Jan 12, 2015;51,750.50;25,004.75;8,673.25;243,776.00;6,882.50;455.00;112,195.25;364.00;17,695.50;10,499.50;5,148.00;6,408.00
Jan 12, 2015;Jan 13, 2015;52,133.00;22,619.50;10,518.75;244,919.25;3,714.50;477.00;119,173.75;500.00;40,343.00;21,745.00;7,111.00;7,980.25
Jan 13, 2015;Jan 14, 2015;51,769.50;21,066.00;7,899.50;170,042.75;19,971.25;495.00;124,736.75;6,201.25;53,855.75;25,352.50;4,899.00;7,416.25
Jan 14, 2015;Jan 15, 2015;51,321.00;20,171.00;7,980.50;146,558.75;5,386.75;520.25;127,297.25;7,896.25;69,039.00;22,102.75;6,948.25;7,035.00
Jan 15, 2015;Jan 16, 2015;51,514.50;20,491.75;11,162.00;212,337.25;7,199.50;564.75;122,155.75;7,938.25;70,101.50;21,474.00;5,047.75;7,199.00
Jan 16, 2015;Jan 17, 2015;50,887.25;19,516.25;9,430.50;127,025.25;10,614.00;564.25;126,371.00;8,004.50;78,833.75;21,169.00;6,548.25;6,411.25
Jan 17, 2015;Jan 18, 2015;51,367.75;20,802.75;10,658.75;64,674.00;7,327.50;575.50;129,058.25;8,894.50;77,179.75;16,695.25;7,380.50;6,802.25
Jan 18, 2015;Jan 19, 2015;51,792.25;19,994.00;4,808.00;47,724.25;7,863.75;583.50;128,132.75;8,537.00;64,674.25;20,216.25;4,949.50;7,028.75
Jan 19, 2015;Jan 20, 2015;51,285.25;19,989.75;224.25;7,457.50;9,029.25;537.75;128,867.75;8,854.50;98,095.75;29,209.50;7,059.25;7,042.75
Jan 20, 2015;Jan 21, 2015;51,553.00;22,513.75;974.50;2,564.75;3,712.75;498.00;129,561.50;8,948.25;99,178.50;34,677.25;6,713.25;8,040.25
Jan 21, 2015;Jan 22, 2015;51,275.25;23,184.25;2,245.50;18,316.50;8,176.50;554.25;129,821.25;8,833.25;100,389.75;32,738.75;8,649.00;7,870.25
Jan 22, 2015;Jan 23, 2015;51,327.00;22,496.00;1,272.75;20,511.00;7,515.00;583.00;130,149.75;8,919.00;106,969.00;32,549.50;7,403.75;7,687.25
Jan 23, 2015;Jan 24, 2015;51,319.00;21,481.50;4,325.25;12,860.75;2,695.50;575.50;130,142.50;8,933.00;106,070.25;26,387.00;7,281.50;7,975.25
Jan 24, 2015;Jan 25, 2015;51,022.00;19,887.50;10,991.00;67,610.00;2,188.25;580.00;128,523.75;8,946.00;99,466.75;19,514.50;5,254.25;7,929.25
Jan 25, 2015;Jan 26, 2015;51,579.75;16,765.00;8,249.25;44,451.75;5,344.75;581.00;128,663.50;8,370.00;78,039.50;17,446.75;6,189.75;7,906.75
Jan 26, 2015;Jan 27, 2015;52,088.50;16,487.50;13,708.25;90,433.75;2,838.50;585.00;130,119.75;8,960.25;104,010.25;28,186.00;5,570.75;7,891.25
Jan 27, 2015;Jan 28, 2015;51,892.25;18,154.50;10,270.25;95,245.25;6,818.75;586.75;129,489.50;8,289.00;102,547.50;26,487.25;6,385.75;7,885.75
Jan 28, 2015;Jan 29, 2015;51,549.25;18,320.00;12,718.50;170,948.00;5,325.75;603.50;127,807.25;8,628.50;83,766.50;32,771.50;4,916.75;7,842.25
Jan 29, 2015;Jan 30, 2015;51,105.00;18,881.00;9,855.25;161,285.25;9,637.25;600.00;127,474.75;7,544.75;81,963.75;30,116.50;6,736.00;8,088.50
Jan 30, 2015;Jan 31, 2015;51,276.00;19,513.25;1,467.25;21,707.00;4,174.00;615.75;121,347.00;8,933.25;105,932.75;27,932.00;6,455.50;8,031.00
Jan 31, 2015;Feb 1, 2015;51,371.25;19,515.75;1,146.75;30,102.00;8,005.25;604.50;105,721.00;8,942.50;90,257.00;23,243.75;2,235.00;7,828.25
Feb 1, 2015;Feb 2, 2015;52,458.25;16,090.75;4,947.75;33,453.00;8,769.50;623.25;128,250.00;8,390.75;62,490.25;22,986.75;2,662.75;7,634.50
Feb 2, 2015;Feb 3, 2015;52,570.25;15,856.75;7,593.00;64,331.50;5,773.50;623.75;129,769.75;8,325.75;94,924.00;19,848.00;6,741.25;7,255.00
Feb 3, 2015;Feb 4, 2015;52,325.00;17,792.75;7,319.00;32,100.25;11,383.00;617.50;128,643.25;8,847.00;107,055.75;34,517.00;5,510.50;7,431.25
Feb 4, 2015;Feb 5, 2015;51,869.00;18,933.25;2,576.00;12,726.25;15,888.75;607.00;130,362.75;8,934.75;110,865.00;33,579.75;4,598.50;7,392.50
Feb 5, 2015;Feb 6, 2015;51,156.75;17,748.50;5,461.00;37,596.75;12,547.00;608.25;129,409.50;8,915.00;100,120.75;32,226.75;6,032.25;7,634.50
Feb 6, 2015;Feb 7, 2015;50,812.50;17,064.50;1,508.00;46,799.00;21,696.00;608.00;129,317.00;8,932.00;108,888.75;31,360.50;5,167.25;7,342.75
Feb 7, 2015;Feb 8, 2015;50,712.75;16,579.50;12,801.50;109,187.25;22,668.75;604.50;126,191.50;8,463.75;83,965.75;29,953.00;5,181.50;7,739.00
Feb 8, 2015;Feb 9, 2015;51,073.75;14,897.75;14,853.25;146,637.00;21,491.50;526.00;111,484.25;6,872.00;46,266.50;26,675.50;5,182.75;7,384.50
Feb 9, 2015;Feb 10, 2015;50,801.75;13,846.50;16,189.00;169,587.75;5,400.00;573.00;127,335.75;8,128.25;79,249.50;37,090.50;5,583.50;7,739.50
Feb 10, 2015;Feb 11, 2015;51,296.75;15,860.50;9,968.25;68,656.75;9,889.75;588.50;129,311.75;8,918.50;119,717.75;27,173.50;4,497.00;7,937.00
