quarter,TSO,wind_mwh,load_mwh,S,cr_hat
2021Q1,50Hertz,10332139.598789917,26458894.51705215,0.3904977810819379,0.037591391757116115
2021Q2,50Hertz,6250356.920074381,23348612.198897533,0.2676971490566582,0.033994561506153556
2021Q3,50Hertz,5208241.8405525815,23550796.659246545,0.22114928492271257,0.03263117466462488
2021Q4,50Hertz,9703123.698236724,25964529.24843711,0.3737068985689693,0.03709958684400646
2022Q1,50Hertz,10435460.994777817,26591188.98963741,0.39244055611219636,0.037648295633622306
2022Q2,50Hertz,6312860.489275125,23465355.25989202,0.2690289756688804,0.03403357070479426
2022Q3,50Hertz,5260324.258958107,23668550.64254278,0.222249530121333,0.0326634008441535
2022Q4,50Hertz,9800154.935219092,26094351.894679293,0.37556613687030754,0.03715404392990016
2023Q1,50Hertz,10539815.604725594,26724144.934585594,0.39439299668986894,0.0377054826139917
2023Q2,50Hertz,6375989.094167876,23582682.03619148,0.27036742828414845,0.034072773979050085
2023Q3,50Hertz,5312927.501547689,23786893.39575549,0.22335524917666308,0.032695787352933506
2023Q4,50Hertz,9898156.484571284,26224823.654152684,0.3774346251134435,0.037208771946569456
2024Q1,50Hertz,10645213.76077285,26857765.65925852,0.3963551509022564,0.03776295410670125
2024Q2,50Hertz,6439748.985109555,23700595.446372434,0.2717125398676517,0.03411217229447137
2024Q3,50Hertz,5366056.776563165,23905827.862734266,0.22446646932182057,0.03272833498862286
2024Q4,50Hertz,9997138.049416997,26355947.77242345,0.37931240931798793,0.037263772241928644
2025Q1,50Hertz,10751665.89838058,26992054.48755481,0.3983270670758995,0.03782071152723523
2025Q2,50Hertz,6504146.47496065,23819098.42360429,0.2730643435485854,0.03415176662141216
2025Q3,50Hertz,5419717.3443287965,24025357.002047934,0.22558321792541178,0.03276104455284799
2025Q4,50Hertz,10097109.429911166,26487727.511285562,0.38119953573250537,0.03731904617059808
2026Q1,50Hertz,10859182.557364386,27127014.759992577,0.4003087937777698,0.03787875629812012
2026Q2,50Hertz,6569187.939710257,23938193.91572231,0.27442287262096643,0.03419155793505415
2026Q3,50Hertz,5473914.517772085,24145483.78705817,0.2267055224922049,0.03279391685122349
2026Q4,50Hertz,10198080.524210278,26620166.14884199,0.3830960508356522,0.03737459509393751
2027Q1,50Hertz,10967774.38293803,27262649.83379254,0.4023003798164651,0.03793708984895966
2027Q2,50Hertz,6634879.819107359,24057884.88530092,0.2757881605444538,0.034231547215430674
2027Q3,50Hertz,5528653.662949806,24266211.20599346,0.22783341066380794,0.032826952693372005
2027Q4,50Hertz,10300061.32945238,26753266.97958619,0.3850020013373222,0.037430420380079626
2028Q1,50Hertz,11077452.12676741,27398963.0829615,0.4043018742434128,0.03799571361647004
2028Q2,50Hertz,6701228.617298433,24178174.309727423,0.2771602409451725,0.03427173544745086
2028Q3,50Hertz,5583940.199579304,24387542.26202342,0.22896691021934934,0.03286015289294414
2028Q4,50Hertz,10403061.942746906,26887033.31448412,0.3869174341797965,0.03748652340396374
2029Q1,50Hertz,11188226.648035085,27535957.898376305,0.40631332635407663,0.03805462904451531
2029Q2,50Hertz,6768240.903471417,24299065.181276057,0.2785391476165416,0.03431212362092389
2029Q3,50Hertz,5639779.601575096,24509479.973333538,0.23010604907616197,0.032893518267638526
2029Q4,50Hertz,10507092.562174374,27021468.48105654,0.38884239653889996,0.037542905547369665
2030Q1,50Hertz,11300108.914515434,27673637.687868185,0.4083347856891715,0.03811383758414288
2030Q2,50Hertz,6835923.312506132,24420560.507182434,0.27992491452010654,0.03435271273058335
2030Q3,50Hertz,5696177.397590848,24632027.373200204,0.23125085529047126,0.03292704963922194
2030Q4,50Hertz,10612163.487796118,27156575.82346182,0.3907769358251632,0.03759956819895174
2031Q1,50Hertz,11413110.003660588,27812005.87630752,0.4103663020358838,0.03817334069361935
2031Q2,50Hertz,6904282.545631194,24542663.309718344,0.28131757578637573,0.03439350377611176
2031Q3,50Hertz,5753139.171566756,24755187.510066204,0.2324013570580856,0.03296074783354955
2031Q4,50Hertz,10718285.12267408,27292358.70257913,0.3927210996849899,0.03765651275427303
2032Q1,50Hertz,11527241.103697194,27951065.905689057,0.4124079254290972,0.038233139838466344
2032Q2,50Hertz,6973325.371087505,24665376.626266934,0.2827171657156612,0.03443449776216519
2032Q3,50Hertz,5810670.563282425,24878963.44761653,0.23355758271509106,0.032994613680585254
2032Q4,50Hertz,10825467.97390082,27428820.49609202,0.3946749360018306,0.037713740615839694
2033Q1,50Hertz,11642513.514734168,28090821.2352175,0.4144597061526251,0.038293236491496664
2033Q2,50Hertz,7043058.624798381,24788703.509398267,0.28412371877892323,0.034475695698397986
2033Q3,50Hertz,5868777.268915248,25003358.264854606,0.23471956073854924,0.03302864801442213
2033Q4,50Hertz,10933722.653639829,27565964.598572478,0.39663849289736225,0.037771253193135554
2034Q1,50Hertz,11758938.649881508,28231275.341393583,0.4165216947404492,0.03835363213285052
2034Q2,50Hertz,7113489.211046365,24912647.026945256,0.2855372696186194,0.034517098599487664
2034Q3,50Hertz,5927465.041604401,25128375.05617888,0.23588731974719876,0.03306285167330297
2034Q4,50Hertz,11043059.880176226,27703794.421565335,0.39861181873267254,0.037829051902656764
2035Q1,50Hertz,11876528.036380323,28372431.718100548,0.4185939419779639,0.038414328250032
2035Q2,50Hertz,7184624.103156828,25037210.262079976,0.2869578530495579,0.034558707485159885
2035Q3,50Hertz,5986739.692020444,25254016.93145977,0.23706088850215995,0.033097225499640934
2035Q4,50Hertz,11153490.478977988,27842313.39367316,0.400594962109452,0.037887138167946734
2036Q1,50Hertz,11995293.316744126,28514293.876691047,0.42067649890322745,0.03847532633794573
2036Q2,50Hertz,7256470.344188396,25162396.313390374,0.28838550405975466,0.03460052338021355
2036Q3,50Hertz,6046607.088940649,25380287.016117066,0.2382402959076434,0.033131770340040285
2036Q4,50Hertz,11265025.383767769,27981524.960641526,0.4025879718711906,0.037945513419631184
2037Q1,50Hertz,12115246.249911569,28656865.346074495,0.4227694168082188,0.03853662789893366
2037Q2,50Hertz,7329035.047630281,25288208.294957325,0.28982025781129583,0.03464254731454609
2037Q3,50Hertz,6107073.159830056,25507188.45119765,0.23942557101166154,0.03316648704531724
2037Q4,50Hertz,11377675.637605445,28121432.58544473,0.4045908971043806,0.038004179095453366
2038Q1,50Hertz,12236398.712410685,28800149.67280487,0.42487274724010043,0.038598234442812074
2038Q2,50Hertz,7402325.398106583,25414649.336432107,0.2912621496412028,0.034684780323178795
2038Q3,50Hertz,6168143.891428357,25634724.393453635,0.2406167430067445,0.03320137647052094
2038Q4,50Hertz,11491452.393981501,28262039.74837195,0.4066037871397259,0.03806313664030949
2039Q1,50Hertz,12358762.699534792,28944150.42116889,0.4269865420024891,0.03866014748690879
2039Q2,50Hertz,7476348.652087649,25541722.583114266,0.2927112150623033,0.03472722344628231
2039Q3,50Hertz,6229825.33034264,25762898.015420903,0.24181384123065863,0.03323643947495451
2039Q4,50Hertz,11606366.917921318,28403349.947113805,0.4086266915533565,0.03812238750628431
2040Q1,50Hertz,12482350.32653014,29088871.17327473,0.42911085315673037,0.03872236855610051
2040Q2,50Hertz,7551112.1386085255,25669431.196029834,0.29416748976410584,0.03476987772920226
2040Q3,50Hertz,6292123.5836460665,25891712.505498003,0.2430168951671296,0.033271676922196215
2040Q4,50Hertz,11722430.58710053,28545366.696849372,0.41065966016804983,0.03818193315268685
2041Q1,50Hertz,12607173.82979544,29234315.529141102,0.43124573302318175,0.0387848991828504
2041Q2,50Hertz,7626623.25999461,25797778.352009982,0.2956310096136785,0.034812744222484995
2041Q3,50Hertz,6355044.819482528,26021171.06802549,0.24422593444656812,0.033307089680120715
2041Q4,50Hertz,11839654.892971536,28688093.530333616,0.4127027430544581,0.038241775046086425
2042Q1,50Hertz,12733245.568093395,29380487.106786806,0.4333912341825011,0.03884774090724581
2042Q2,50Hertz,7702889.492594557,25926767.243770026,0.29710181065653274,0.03485582398190346
2042Q3,50Hertz,6418595.267677354,26151276.923365615,0.24544098884679982,0.033342678620920455
2042Q4,50Hertz,11958051.44190125,28831533.997985277,0.414755990532341,0.038301914660348685
2043Q1,50Hertz,12860578.023774331,29527389.542320736,0.43554740947694154,0.03891089527703623
2043Q2,50Hertz,7779918.387520503,26056401.079988874,0.2985799291175105,0.03489911806848322
2043Q3,50Hertz,6482781.220354126,26282033.307982437,0.24666208829379885,0.033378444621127164
2043Q4,50Hertz,12077631.956320263,28975691.6679752,0.4168194531718055,0.03836235347667195
2044Q1,50Hertz,12989183.804012073,29675026.490032334,0.43771431201165273,0.03897436384767137
2044Q2,50Hertz,7857717.571395707,26186683.085388817,0.30006540140167726,0.034942627548528546
2044Q3,50Hertz,6547609.032557667,26413443.47452235,0.24788926286242471,0.0334143885616334
2044Q4,50Hertz,12198408.275883466,29120570.126315072,0.4188931817945509,0.03842309298362369
2045Q1,50Hertz,13119075.642052194,29823401.622482494,0.43989199515598937,0.03903814818233953
2045Q2,50Hertz,7936294.747109665,26317616.500815757,0.30155826409521796,0.034986353493648724
