date,TenneT,50Hertz,Amprion,TransnetBW
2015-01-01,137099.5,122719.5,38828.0,145.5
2015-01-02,248201.75,245318.25,93009.75,5092.5
2015-01-03,186151.0,221648.75,44720.5,4522.75
2015-01-04,133540.75,199575.0,42377.0,3541.0
2015-01-05,71846.75,127987.25,19081.0,711.25
2015-01-06,35036.75,49592.5,17460.5,618.5
2015-01-07,84706.0,90869.25,33529.5,1495.25
2015-01-08,160828.75,160030.5,93147.0,6524.25
2015-01-09,243941.25,255261.0,126279.5,9870.75
2015-01-10,247599.5,235828.5,129684.0,10951.0
2015-01-11,243776.0,253542.0,114997.75,8110.0
2015-01-12,244919.25,239155.25,129186.0,8711.5
2015-01-13,170042.75,217884.75,114079.25,6993.0
2015-01-14,146558.75,153329.0,93060.5,7098.0
2015-01-15,212337.25,197822.5,121717.25,4872.0
2015-01-16,127025.25,94656.25,33918.0,1452.5
2015-01-17,64674.0,35828.25,20240.25,1993.0
2015-01-18,47724.25,49076.25,28665.5,800.75
2015-01-19,7457.5,22105.25,2787.25,531.0
2015-01-20,2564.75,12249.5,907.5,173.0
2015-01-21,18316.5,10134.25,15202.5,1585.75
2015-01-22,20511.0,26606.0,15520.75,388.75
2015-01-23,12860.75,13003.25,5516.0,69.5
2015-01-24,67610.0,40344.5,33828.0,277.75
2015-01-25,44451.75,41688.5,20807.75,720.75
2015-01-26,90433.75,73604.5,39270.25,1545.25
2015-01-27,95245.25,130692.25,38405.0,2223.0
2015-01-28,170948.0,151034.5,86554.5,3582.5
2015-01-29,161285.25,164843.75,74879.5,4865.5
2015-01-30,21707.0,62652.75,0.0,4382.25
2015-01-31,30102.0,73291.0,25929.75,1993.75
2015-02-01,33453.0,60912.75,17332.25,2368.25
2015-02-02,64331.5,85182.75,37224.5,3068.0
2015-02-03,32100.25,50891.5,10493.5,346.25
2015-02-04,12726.25,13446.0,11951.0,739.25
2015-02-05,37596.75,27173.5,42688.0,5470.75
2015-02-06,46799.0,40191.0,76273.75,9531.25
2015-02-07,109187.25,109102.75,30212.5,2884.0
2015-02-08,146637.0,189675.75,56713.0,3182.75
2015-02-09,169587.75,156207.0,42133.0,3460.0
2015-02-10,68656.75,62786.5,11300.25,375.0
2015-02-11,5612.0,10724.5,8907.5,1017.5
2015-02-12,3456.5,13640.75,5476.75,249.25
2015-02-13,30289.0,27424.0,25517.0,517.75
2015-02-14,40119.5,30671.5,34560.75,1201.25
2015-02-15,87084.75,73059.75,21133.25,654.75
2015-02-16,66241.25,120104.5,9625.25,307.25
2015-02-17,21992.5,36169.25,4598.0,94.0
2015-02-18,59149.25,46257.25,7336.0,90.5
2015-02-19,112392.75,79578.75,29412.25,322.0
2015-02-20,118540.75,122822.0,75433.75,3366.75
2015-02-21,83149.75,143061.0,44163.0,3833.75
2015-02-22,72422.5,38264.5,24278.0,242.75
2015-02-23,149110.5,130915.5,71765.75,3204.5
2015-02-24,138444.5,99322.0,61971.75,2137.0
2015-02-25,49621.25,34372.0,22617.75,540.75
2015-02-26,75725.0,56665.0,25180.0,1193.5
2015-02-27,49333.5,51859.25,33697.5,1710.25
2015-02-28,86495.75,52663.5,37313.25,930.0
2015-03-01,175096.5,161692.0,92612.75,5506.25
2015-03-02,206923.0,166170.75,101268.5,9182.5
2015-03-03,151695.25,187280.25,78399.5,5628.75
2015-03-04,157218.25,141023.25,61252.0,3464.0
2015-03-05,63425.0,73271.25,22399.5,2113.75
2015-03-06,59117.5,48586.5,12093.0,121.0
2015-03-07,121754.0,90844.75,28687.25,1213.0
2015-03-08,87391.75,81764.0,20288.0,1429.75
2015-03-09,25350.75,30198.75,8840.25,224.0
2015-03-10,58151.75,55838.5,13961.75,543.25
