Alle Werte in ct/kWh;Jan 2021;Feb 2021;Mär 2021;Apr 2021;Mai 2021;Jun 2021;Jul 2021;Aug 2021;Sep 2021;Okt 2021;Nov 2021;Dez 2021
; ; ; ; ; ; ; ; ; ; ; ; 
Spotmarktpreis; 5,282; 4,870; 4,716; 5,361; 5,335; 7,408; 8,137; 8,270; 12,837; 13,949; 17,615; 22,106
; ; ; ; ; ; ; ; ; ; ; ; 
MW Wind an Land; 4,645; 4,361; 3,395; 4,353; 4,134; 6,330; 6,808; 7,253; 11,754; 10,982; 14,056; 16,077
; ; ; ; ; ; ; ; ; ; ; ; 
MW Wind auf See; 4,816; 4,742; 3,892; 4,481; 3,944; 6,884; 7,252; 7,531; 12,250; 12,556; 15,649; 18,426
; ; ; ; ; ; ; ; ; ; ; ; 
MW Solar; 5,543; 4,499; 4,105; 4,551; 4,187; 6,864; 7,409; 7,681; 11,715; 12,804; 18,307; 27,075
; ; ; ; ; ; ; ; ; ; ; ; 
MW; 5,282; 4,870; 4,716; 5,361; 5,335; 7,408; 8,137; 8,270; 12,837; 13,949; 17,615; 22,106
; ; ; ; ; ; ; ; ; ; ; ; 
Negative Stunden (6H); Nein; Ja; Ja; Ja; Ja; Nein; Ja; Ja; Nein; Ja; Nein; Nein
Negative Stunden (4H); Nein; Ja; Ja; Ja; Ja; Ja; Ja; Ja; Nein; Ja; Nein; Nein
Negative Stunden (1H); Nein; Ja; Ja; Ja; Ja; Ja; Ja; Ja; Nein; Ja; Nein; Ja
