Start date;End date;grid load [MWh] Calculated resolutions;Grid load incl. hydro pumped storage [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Jan 1, 2019;Feb 1, 2019;14,065,121.00;14,140,010.25;74,889.25;6,950,361.75
Feb 1, 2019;Mar 1, 2019;12,491,837.50;12,581,815.25;89,977.75;6,571,954.00
Mar 1, 2019;Apr 1, 2019;13,205,231.50;13,331,580.50;126,349.00;4,605,994.50
Apr 1, 2019;May 1, 2019;11,872,034.00;11,963,924.25;91,890.25;5,439,755.25
May 1, 2019;Jun 1, 2019;12,138,777.00;12,219,001.50;80,224.50;5,913,657.50
Jun 1, 2019;Jul 1, 2019;11,556,209.50;11,660,599.50;104,390.00;5,792,661.00
Jul 1, 2019;Aug 1, 2019;12,246,459.75;12,331,643.50;85,183.75;6,513,543.50
Aug 1, 2019;Sep 1, 2019;11,836,005.75;11,922,952.25;86,946.50;6,658,657.75
Sep 1, 2019;Oct 1, 2019;11,769,230.50;11,839,045.00;69,814.50;5,615,495.50
Oct 1, 2019;Nov 1, 2019;12,634,978.00;12,727,710.75;92,732.75;5,961,264.00
Nov 1, 2019;Dec 1, 2019;12,895,871.25;12,983,127.50;87,256.25;7,477,522.00
Dec 1, 2019;Jan 1, 2020;12,888,425.00;13,024,485.75;136,060.75;5,009,376.75
Jan 1, 2020;Feb 1, 2020;13,769,626.25;13,934,364.25;164,738.00;5,407,381.25
Feb 1, 2020;Mar 1, 2020;12,864,174.00;13,016,197.75;152,023.75;3,016,619.00
Mar 1, 2020;Apr 1, 2020;12,858,225.50;13,001,507.50;143,282.00;4,326,324.25
Apr 1, 2020;May 1, 2020;10,942,300.00;11,104,237.75;161,937.75;4,076,976.25
May 1, 2020;Jun 1, 2020;11,120,782.50;11,269,621.25;148,838.75;5,014,676.75
Jun 1, 2020;Jul 1, 2020;10,880,524.75;10,948,659.25;68,134.50;5,515,135.50
Jul 1, 2020;Aug 1, 2020;11,707,217.50;11,834,493.75;127,276.25;5,824,524.00
Aug 1, 2020;Sep 1, 2020;11,591,835.00;11,723,874.25;132,039.25;5,916,208.75
Sep 1, 2020;Oct 1, 2020;11,690,436.00;11,827,912.00;137,476.00;6,496,659.00
Oct 1, 2020;Nov 1, 2020;12,942,238.00;13,094,448.75;152,210.75;4,977,658.75
Nov 1, 2020;Dec 1, 2020;12,845,804.50;12,930,925.50;85,121.00;6,353,153.75
Dec 1, 2020;Jan 1, 2021;12,791,110.50;12,906,359.75;115,249.25;6,681,778.75
Jan 1, 2021;Feb 1, 2021;13,507,178.75;13,623,868.75;116,690.00;7,580,462.75
Feb 1, 2021;Mar 1, 2021;12,372,690.75;12,472,379.50;99,688.75;5,659,106.75
Mar 1, 2021;Apr 1, 2021;13,286,849.00;13,364,526.25;77,677.25;5,965,491.50
Apr 1, 2021;May 1, 2021;12,146,391.50;12,248,735.25;102,343.75;5,428,274.75
May 1, 2021;Jun 1, 2021;11,930,865.25;12,059,964.25;129,099.00;5,426,192.50
Jun 1, 2021;Jul 1, 2021;11,773,016.75;11,904,449.75;131,433.00;6,812,544.00
Jul 1, 2021;Aug 1, 2021;12,109,550.50;12,224,458.00;114,907.50;6,800,365.00
Aug 1, 2021;Sep 1, 2021;11,708,596.75;11,799,061.50;90,464.75;5,462,442.75
Sep 1, 2021;Oct 1, 2021;11,724,362.00;11,864,673.00;140,311.00;6,907,720.50
Oct 1, 2021;Nov 1, 2021;12,812,530.25;12,982,993.25;170,463.00;4,876,322.25
Nov 1, 2021;Dec 1, 2021;13,263,098.25;13,418,647.75;155,549.50;7,404,131.75
Dec 1, 2021;Jan 1, 2022;13,425,274.00;13,548,408.25;123,134.25;7,033,748.00
Jan 1, 2022;Feb 1, 2022;13,736,455.50;13,923,174.50;186,719.00;5,418,502.00
Feb 1, 2022;Mar 1, 2022;12,606,398.00;12,744,477.50;138,079.50;1,977,570.50
Mar 1, 2022;Apr 1, 2022;13,046,500.75;13,235,145.75;188,645.00;6,998,348.00
