Start date;End date;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Jan 1, 2025 12:00 AM;Jan 1, 2025 1:00 AM;3,829.75;1,451.00;2,502.00;32,883.75;9.50;131.25;-;3,269.50;2,806.50;4,692.75;458.00;1,908.75
Jan 1, 2025 1:00 AM;Jan 1, 2025 2:00 AM;3,774.75;1,390.00;2,395.50;33,528.75;9.50;131.00;-;3,739.25;2,719.00;4,328.00;144.25;1,885.50
Jan 1, 2025 2:00 AM;Jan 1, 2025 3:00 AM;3,750.00;1,353.50;2,614.00;33,791.50;9.00;131.00;-;3,265.00;2,717.00;4,218.00;1.00;1,851.50
Jan 1, 2025 3:00 AM;Jan 1, 2025 4:00 AM;3,749.50;1,326.00;1,684.25;32,901.75;9.25;127.75;-;3,226.50;2,639.00;4,280.00;97.00;1,803.25
Jan 1, 2025 4:00 AM;Jan 1, 2025 5:00 AM;3,723.75;1,330.75;1,327.75;33,148.50;9.00;127.50;-;3,237.50;2,583.25;4,335.00;3.25;1,785.00
Jan 1, 2025 5:00 AM;Jan 1, 2025 6:00 AM;3,725.25;1,307.25;1,163.25;33,611.25;9.25;129.75;-;3,223.75;2,403.25;4,465.25;0.00;1,780.25
Jan 1, 2025 6:00 AM;Jan 1, 2025 7:00 AM;3,761.75;1,365.25;1,037.00;35,485.00;10.75;129.50;-;3,237.00;2,268.25;4,489.25;16.75;1,776.50
Jan 1, 2025 7:00 AM;Jan 1, 2025 8:00 AM;3,793.75;1,468.25;1,310.00;36,137.00;12.50;129.25;-;3,251.25;1,987.75;4,439.25;95.00;1,775.25
Jan 1, 2025 8:00 AM;Jan 1, 2025 9:00 AM;3,899.25;1,429.75;2,419.00;35,709.00;723.50;128.75;-;3,241.25;1,860.00;4,092.75;56.75;1,762.75
Jan 1, 2025 9:00 AM;Jan 1, 2025 10:00 AM;3,908.00;1,465.00;2,093.75;34,633.25;4,054.25;128.25;-;3,238.50;1,828.25;4,021.50;40.50;1,772.25
Jan 1, 2025 10:00 AM;Jan 1, 2025 11:00 AM;3,833.00;1,450.75;2,116.25;36,185.50;7,921.50;126.75;-;3,273.25;1,844.25;3,999.75;26.50;1,805.75
Jan 1, 2025 11:00 AM;Jan 1, 2025 12:00 PM;3,842.25;1,451.50;1,851.00;35,969.25;11,159.75;124.75;-;3,265.50;1,849.75;3,980.50;54.25;1,843.25
Jan 1, 2025 12:00 PM;Jan 1, 2025 1:00 PM;3,791.50;1,497.50;2,145.00;36,697.00;12,122.75;119.25;-;3,283.50;1,848.75;3,658.75;53.75;1,840.25
Jan 1, 2025 1:00 PM;Jan 1, 2025 2:00 PM;3,767.00;1,498.75;2,689.75;37,676.50;10,670.25;115.25;-;3,242.00;1,849.50;3,636.25;140.25;1,829.00
Jan 1, 2025 2:00 PM;Jan 1, 2025 3:00 PM;3,774.50;1,448.50;3,463.50;38,654.00;7,056.75;124.50;-;3,291.50;1,836.00;3,625.50;88.00;1,786.75
Jan 1, 2025 3:00 PM;Jan 1, 2025 4:00 PM;3,821.75;1,435.75;4,613.00;41,344.00;2,781.50;125.75;-;3,348.50;1,833.75;3,602.50;97.00;1,810.75
Jan 1, 2025 4:00 PM;Jan 1, 2025 5:00 PM;3,982.75;1,475.50;4,720.50;41,985.75;193.50;128.00;-;3,395.75;1,934.25;3,654.50;432.25;1,874.25
Jan 1, 2025 5:00 PM;Jan 1, 2025 6:00 PM;4,110.75;1,453.25;4,809.75;43,897.00;19.25;128.00;-;3,337.25;2,326.50;3,704.00;393.25;1,864.50
