project_year,level_1,revenue_eur
1,p10,10954315.56318623
1,p25,11509292.626976557
1,p50,12268520.460048012
1,p75,13434422.121403465
1,p90,15526050.744594775
2,p10,11298284.117918015
2,p25,11962910.248104466
2,p50,12975712.77019767
2,p75,14628194.782245412
2,p90,16456698.354981354
3,p10,11706937.277524259
3,p25,12415689.85049953
3,p50,13440595.1834062
3,p75,15102756.304707617
3,p90,16967625.316299602
4,p10,12134985.599024724
4,p25,12856559.137601847
4,p50,13862454.772784997
4,p75,15422316.18997464
4,p90,17363299.510720417
5,p10,12526622.481001016
5,p25,13274683.83085016
5,p50,14334213.92921257
5,p75,15997068.625440693
5,p90,18100463.419548772
6,p10,12875306.55386844
6,p25,13605994.09561051
6,p50,14719933.125710681
6,p75,16404530.168860001
6,p90,18620364.15811777
7,p10,13293855.139207274
7,p25,13973933.613705268
7,p50,14982983.153608121
7,p75,16584472.195656706
7,p90,18826214.57983098
8,p10,13645960.507331403
8,p25,14410086.787169771
8,p50,15482843.15833756
8,p75,17280266.554540046
8,p90,19397925.219513576
9,p10,14012385.242730184
9,p25,14752599.37769061
9,p50,15820276.977354525
9,p75,17613820.351155616
9,p90,19690590.91407101
10,p10,14423067.799570989
10,p25,15236360.831605606
10,p50,16321818.736986578
10,p75,18148501.74106665
10,p90,20259573.73820633
11,p10,14946997.342925806
11,p25,15723875.250771657
11,p50,16860805.108770974
11,p75,18633440.12727748
11,p90,20739009.28601589
12,p10,15320279.363701867
12,p25,16185090.090325436
12,p50,17383440.38655144
12,p75,19221611.79039353
12,p90,21298030.20336439
13,p10,15737793.617308361
13,p25,16595715.214224404
13,p50,17820767.813494682
13,p75,19865720.976103954
13,p90,22056651.40822547
14,p10,16261950.47930146
14,p25,16978331.563312754
14,p50,18153286.77898906
14,p75,19816954.779433392
14,p90,21980169.42920594
15,p10,16654884.393309254
15,p25,17433077.83264292
15,p50,18562527.64286892
15,p75,20456040.036985897
15,p90,22623493.671663288
16,p10,17078199.36031636
16,p25,17889687.82489201
16,p50,19001904.813074086
16,p75,20926090.769082047
16,p90,23044726.626387194
17,p10,17511609.617183756
17,p25,18356978.906939726
17,p50,19504277.429977767
17,p75,21378968.581596114
17,p90,23704705.898447946
18,p10,17942537.63801943
18,p25,18734514.504711814
18,p50,19968686.86789652
18,p75,21902732.665869277
18,p90,24087175.875249524
19,p10,18404168.84565067
19,p25,19252280.90124852
19,p50,20428731.81908886
19,p75,22360214.347971514
19,p90,24728734.584396645
20,p10,18896768.52537714
20,p25,19737226.704342164
20,p50,21078184.391233005
20,p75,23191769.48049091
20,p90,25595466.945547875
21,p10,19332946.577601958
21,p25,20230700.64076885
21,p50,21464605.067417428
21,p75,23428412.87662049
21,p90,25901890.35299518
22,p10,19760628.008270178
22,p25,20600831.791144148
22,p50,21867014.871653102
22,p75,23855448.031956393
22,p90,26246187.0796422
23,p10,20328919.211606413
23,p25,21192909.28720903
23,p50,22438699.841523934
23,p75,24283157.162791044
23,p90,26823223.32942433
24,p10,20848071.88489882
24,p25,21803699.684939668
24,p50,23057256.925429992
24,p75,25036351.29496668
24,p90,27573990.892713938
25,p10,21376827.68753149
25,p25,22248214.51007612
25,p50,23565050.272908688
25,p75,25694742.32365705
25,p90,28146770.623101916
26,p10,21806418.381248325
26,p25,22680888.415641382
26,p50,24036284.14975259
26,p75,26186233.67787423
26,p90,28762236.580778796
27,p10,22357627.652260628
27,p25,23266892.532976907
27,p50,24482561.838267453
27,p75,26672570.913258187
27,p90,29218413.8584727
28,p10,22777202.696601376
28,p25,23687729.292943858
28,p50,25038111.341992766
28,p75,27041322.263496403
28,p90,29469294.61698993
29,p10,23281450.783237476
29,p25,24307368.620493084
29,p50,25591113.078171093
29,p75,27801090.567854628
29,p90,30580931.2280606
30,p10,23825960.311355162
30,p25,24766697.28490603
30,p50,26136703.389901668
30,p75,28261184.269756213
30,p90,30827358.06712958
