sim,revenue_total_eur,eeg_premium_total_eur,mwh_delivered_total,mwh_gross_park_total,avg_p_market,avg_p_realised
1,570111570.0224494,133422761.82482074,3909375.102599194,4320000.0,138.02107921481732,145.32961092718918
2,593550665.1254858,143060230.94118616,3932438.9203810142,4320000.0,142.64573695251417,150.27185563224538
3,584258936.2650634,141550494.54842502,3919262.2534539853,4320000.0,141.17611115493142,148.86658995816367
4,574021116.2814965,140126947.69517,3923346.362375166,4320000.0,138.41025145371626,145.89518167373075
5,591437065.7492069,138719436.6684006,3937005.611501069,4320000.0,142.36646200060002,150.04978310989347
6,581741648.0944695,139733508.45892528,3919475.72367392,4320000.0,140.1559873093869,147.62093746205585
7,564857365.4747362,134630564.76950184,3936473.798668177,4320000.0,135.923136461057,143.14056549440284
8,578677875.2626811,137481743.6927238,3921368.424659713,4320000.0,139.6696535688615,147.121176077862
9,591531102.6804734,139681763.28188545,3941596.3055432537,4320000.0,142.11674583660678,149.6736598861685
10,589186202.3107098,141804676.56141,3916257.5929540084,4320000.0,142.22412072091043,149.8188300391676
11,582462444.931233,142337568.75501835,3921366.0156938555,4320000.0,140.35883676688167,147.89443270142982
12,603692690.8527704,144531544.07271165,3916378.0591922384,4320000.0,145.92433799745012,153.76870767095554
13,571065394.7174909,134937057.80172294,3912187.910897274,4320000.0,137.96591969841606,145.32906026448737
14,585099407.0450071,138558512.42666906,3927203.250639795,4320000.0,141.0865738620463,148.61547763758867
15,588996742.153226,139971212.3518199,3911466.857783119,4320000.0,142.40936024971037,150.02080552196625
16,598502052.501147,140502365.20972383,3927620.6776574412,4320000.0,144.28136700004822,151.92622604885858
17,588119683.7793506,137215013.80113617,3935596.2186142574,4320000.0,141.37469256292198,149.01781072095346
18,596825624.801656,140014776.9129494,3908439.058528266,4320000.0,144.5629023457955,152.19861353176793
19,583385320.0348713,137216539.31393325,3935426.8071110267,4320000.0,140.29408567336932,147.7125955021385
20,615760595.9332209,144212369.46154928,3927458.9697668063,4320000.0,148.5012954750091,156.34471974506314
21,554823455.7699423,131030026.78401193,3931466.9617694956,4320000.0,133.52052800653144,140.66967381478347
22,611252453.128803,145053090.63277853,3933443.429991305,4320000.0,147.3859791752802,155.1914930828372
23,583896630.8501073,136383112.138488,3938356.484779278,4320000.0,140.31371384164922,147.97739979782506
24,606374191.4194936,146179978.73819196,3922533.5461384924,4320000.0,146.35411095404655,154.18068771762702
25,550014986.6126786,129156496.74789974,3927785.114937322,4320000.0,132.37751875711797,139.46536128386668
26,611140609.2489012,146911448.22919732,3930895.03030489,4320000.0,147.07556530447403,154.89416278060065
27,599129622.1481438,140676260.1722725,3931403.7057763,4320000.0,144.19709953261022,151.92547098192546
28,599546652.3698123,141355706.13398716,3916489.995109402,4320000.0,145.16092721091098,152.91672535446077
29,581889849.3461188,133829157.56511511,3936951.7870631698,4320000.0,139.8301185040035,147.2627032031869
30,564079948.1430175,133625134.29335737,3913193.453185203,4320000.0,136.42561284425426,143.7907608023202
31,572904361.5045679,137608183.14306515,3932334.885030716,4320000.0,137.7796980356793,145.08620527947062
32,562271874.240698,135162323.76142856,3920733.9318756997,4320000.0,135.78830314038535,143.02941902244604
33,581620226.3267727,135586785.50019476,3910379.4561161236,4320000.0,140.83080886286368,148.23881774774748
34,613567865.3000815,144410552.35184506,3923830.2529271687,4320000.0,148.05274607661414,155.99610901380433
35,570422783.7078738,134205805.36019817,3921330.91846938,4320000.0,137.89202770175362,145.2784826822122
36,624180775.6345981,144758022.44437122,3939457.2917116974,4320000.0,149.97165170481506,158.09519791029157
37,585817282.9831784,135746445.19993722,3942195.020264902,4320000.0,140.76040450285606,148.31924347110805
38,580948959.6013612,139962848.73641825,3922485.6222474985,4320000.0,140.07689875526506,147.63942529327068
39,568049680.903979,132012485.23547558,3930985.9220705517,4320000.0,136.70031463896234,144.0688881966257
40,571161684.9050063,133740562.7693098,3939813.910429482,4320000.0,137.15398491228208,144.42565065923884
41,595618523.1676899,144155138.24514538,3932088.9915483412,4320000.0,143.3619518900118,151.05534698863067
42,567494698.6621513,132567178.94098894,3927620.247205806,4320000.0,136.56691391859707,143.8541622099935
43,565906970.2535815,136504900.93006977,3931695.368708229,4320000.0,136.2318904379413,143.46495963137386
44,603290710.3258111,141746451.9850836,3939838.69346337,4320000.0,144.8770720012094,152.4498324256434
45,573944175.4650203,133953112.63890214,3943465.5637676823,4320000.0,137.72951758746402,145.05662477874682
46,573408834.4163445,131953761.75217898,3911587.4768218044,4320000.0,138.82959431727446,146.2810241857486
47,574255863.3969457,136867708.56356034,3935432.9511294453,4320000.0,138.03492944325328,145.33692200029992
48,562143124.7556056,130977048.27890672,3925671.93374517,4320000.0,135.6377574835639,142.93432090873583
