model,split,TSO,RMSE,MAE,Curt_MWh_Error
M0_baseline,train,50Hertz,0.017073092808178425,0.011255337451149766,-269838.1097340483
M0_baseline,train,Amprion,0.0024057775128574137,0.00159573164927397,-1217.8687115648809
M0_baseline,train,TenneT,0.03978518769990306,0.023224142780754856,-3842960.0074841785
M0_baseline,train,TransnetBW,0.0036200748281915427,0.00247992701978417,775.465429097716
M0_baseline,test,50Hertz,0.023572573328794123,0.017021752292531875,-1038486.357755387
M0_baseline,test,Amprion,0.0038489982936606784,0.0029916227111715234,-70655.40818095653
M0_baseline,test,TenneT,0.021930322641155207,0.017282068380938775,-1090330.2106758635
M0_baseline,test,TransnetBW,0.001626755799609417,0.001387397668048211,6094.4056541212785
M1_interaction,train,50Hertz,0.017066825228031646,0.011333140476051549,-272373.2064634862
M1_interaction,train,Amprion,0.0024012219625874956,0.001582847724216127,-1467.852438570224
M1_interaction,train,TenneT,0.03915197469411531,0.023134792126755444,-3795678.4470488643
M1_interaction,train,TransnetBW,0.0034562226497653822,0.002414054145047852,1158.3724624022625
M1_interaction,test,50Hertz,0.023653122889904822,0.017123296880818154,-1056123.3969672795
M1_interaction,test,Amprion,0.0038194633140415687,0.0029254226379940213,-67997.33018984702
M1_interaction,test,TenneT,0.02777398610849352,0.021977230241069744,-1226386.5270218665
M1_interaction,test,TransnetBW,0.002367510027693824,0.0019612303615010956,7733.036032953945
