feature,importance_split,importance_gain,split_share,gain_share
Column_10,3762.0,167909.99702334404,0.09848683177129693,0.22247084389022778
Column_4,4189.0,122990.64059841633,0.10966542750929369,0.1629553456589327
Column_3,3331.0,60269.648534059525,0.08720351850882245,0.07985373002225438
Column_5,2337.0,58273.64988446236,0.061181213676108695,0.07720914952167882
Column_11,2846.0,40178.453204751015,0.07450651866589873,0.05323408105011333
Column_0,1625.0,36465.074227929115,0.042541494319074294,0.04831407289513167
Column_13,942.0,33101.63924181461,0.024660977014503378,0.04385771989057066
Column_15,2578.0,32804.432413101196,0.06749044452589141,0.043463938369720415
Column_14,2789.0,25910.820698022842,0.0730142939420912,0.03433030938459319
Column_12,1584.0,23541.29514157772,0.041468139693177655,0.03119082776046738
Column_16,532.0,22898.309687137604,0.01392743075553694,0.030338909952151612
Column_2,1489.0,21950.82266139984,0.03898109848683177,0.029083545519254763
Column_8,2764.0,21886.009155750275,0.07235980941410546,0.0289976714465196
Column_7,2370.0,20816.580765604973,0.062045133253049896,0.02758074189703771
Column_1,1321.0,20524.556124329567,0.03458296245876748,0.0271938264689334
Column_9,1866.0,19560.84781074524,0.04885072516885701,0.02591696978625877
Column_6,1737.0,15445.845959067345,0.04547358500445049,0.020464835007021318
Column_17,113.0,9065.149631977081,0.002958270066495628,0.012010788662790272
Column_19,10.0,910.7030596733093,0.00026179381119430337,0.0012066278471243497
Column_18,13.0,246.097722530365,0.0003403319545525944,0.0003260649692178944
