iter,objective_agg,mean_objective,worst_objective,p90_objective,score_used,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,min_split_gain,n_estimators
25,worst,43471.802637964116,66336.07736093742,60625.339644278516,66336.07736093742,0.027328008186879492,143,-1,11,0.9985014799031697,0.9861677405155175,0.017106998386865798,4.445381415737546,0.037741421668275876,8000
24,worst,44673.39766462958,68594.86547927932,62864.33206956267,68594.86547927932,0.037241262343748936,215,-1,187,0.9698774473114251,0.9509357413523924,0.001075886630676792,0.9548873458201663,0.16344444004024317,8000
29,worst,44909.32467470828,68753.10608134423,63798.866137416684,68753.10608134423,0.05220078568906803,175,12,137,0.8273234413341887,0.637469907131237,0.0029570809414943486,0.0624607368131809,0.04879792867581672,8000
7,worst,45963.851539166746,69981.08698061683,64391.172720737435,69981.08698061683,0.04348649923619313,164,12,63,0.8186841117373118,0.6739417822102108,0.755681014127442,2.1154290797261215,0.18789978831283782,8000
22,worst,45374.55898409057,72227.09267742727,64783.52701078085,72227.09267742727,0.011920753502052763,127,10,133,0.8032795106962874,0.8783251227163527,0.27129089558470004,0.09503349811016554,0.044048209513109664,8000
18,worst,45909.91868580359,72408.02176449054,65788.38001628658,72408.02176449054,0.012626936225633297,202,-1,161,0.9771638815650077,0.7292811728083021,0.011889469769530467,1.2854549964879014,0.0727259204758588,8000
13,worst,45211.6341662309,72760.50915939377,65501.439650934706,72760.50915939377,0.04073166880098981,172,-1,112,0.6161734358153725,0.8842651558743149,0.00027769194556163896,0.20797422068521726,0.04034384046707924,8000
3,worst,46361.184388775466,73956.91100172594,68437.29578910868,73956.91100172594,0.033253121068970624,88,7,31,0.6028265220878869,0.6092249700165663,0.012563152773938664,0.15833718339012065,0.009333132642723086,8000
17,worst,46488.07282686196,74336.44377336765,67304.94414739334,74336.44377336765,0.03526644241518976,151,-1,125,0.7410275425336676,0.7219125032632117,0.00045564164652235937,0.40019186681149316,0.09696599427179664,8000
19,worst,46153.18949223458,74601.78702910378,66699.8914125596,74601.78702910378,0.01639016850997567,42,-1,48,0.7988994023569542,0.7203513239267079,0.0013783578294796386,0.012902113024567155,0.12191286679597937,8000
